strain_entity_id,nearclone_block,original_outer_fold,formal_fold,role,A2_eligible
STRAIN_000049,NC_0011,2,5,INNER_VAL,True
STRAIN_000050,NC_0011,2,5,INNER_VAL,True
STRAIN_000051,NC_0011,2,5,INNER_VAL,True
STRAIN_000052,NC_0011,2,5,INNER_VAL,True
STRAIN_000053,NC_0011,2,5,INNER_VAL,True
STRAIN_000054,NC_0011,2,5,INNER_VAL,True
STRAIN_000055,NC_0011,2,5,INNER_VAL,True
STRAIN_000056,NC_0005,5,5,OUTER_TEST,True
STRAIN_000057,NC_0118,5,5,OUTER_TEST,True
STRAIN_000060,NC_0008,2,5,INNER_TRAIN,True
STRAIN_000062,NC_0037,5,5,OUTER_TEST,True
STRAIN_000063,NC_0002,4,5,INNER_TRAIN,True
STRAIN_000064,NC_0122,5,5,OUTER_TEST,True
STRAIN_000066,NC_0008,2,5,INNER_TRAIN,True
STRAIN_000070,NC_0068,1,5,INNER_TRAIN,True
STRAIN_000071,NC_0124,4,5,INNER_TRAIN,True
STRAIN_000072,NC_0125,5,5,OUTER_TEST,True
STRAIN_000073,NC_0126,2,5,INNER_TRAIN,True
STRAIN_000075,NC_0128,1,5,INNER_TRAIN,True
STRAIN_000077,NC_0070,4,5,INNER_TRAIN,True
STRAIN_000078,NC_0047,2,5,INNER_TRAIN,True
STRAIN_000079,NC_0129,5,5,OUTER_TEST,True
STRAIN_000080,NC_0130,4,5,INNER_VAL,True
STRAIN_000081,NC_0048,5,5,OUTER_TEST,True
STRAIN_000083,NC_0132,3,5,INNER_TRAIN,True
STRAIN_000086,NC_0135,5,5,OUTER_TEST,True
STRAIN_000090,NC_0015,3,5,INNER_TRAIN,True
STRAIN_000091,NC_0005,5,5,OUTER_TEST,True
STRAIN_000092,NC_0006,5,5,OUTER_TEST,True
STRAIN_000095,NC_0141,3,5,INNER_TRAIN,True
STRAIN_000096,NC_0142,5,5,OUTER_TEST,True
STRAIN_000097,NC_0143,4,5,INNER_TRAIN,True
STRAIN_000098,NC_0016,4,5,INNER_TRAIN,True
STRAIN_000099,NC_0144,3,5,INNER_TRAIN,True
STRAIN_000100,NC_0145,2,5,INNER_TRAIN,True
STRAIN_000101,NC_0146,2,5,INNER_TRAIN,True
STRAIN_000102,NC_0147,5,5,OUTER_TEST,True
STRAIN_000103,NC_0148,4,5,INNER_TRAIN,True
STRAIN_000104,NC_0012,4,5,INNER_TRAIN,True
STRAIN_000105,NC_0048,5,5,OUTER_TEST,True
STRAIN_000106,NC_0149,3,5,INNER_TRAIN,True
STRAIN_000107,NC_0024,4,5,INNER_TRAIN,True
STRAIN_000108,NC_0028,3,5,INNER_TRAIN,True
STRAIN_000109,NC_0150,2,5,INNER_VAL,True
STRAIN_000110,NC_0151,3,5,INNER_TRAIN,True
STRAIN_000111,NC_0152,5,5,OUTER_TEST,True
STRAIN_000112,NC_0015,3,5,INNER_TRAIN,True
STRAIN_000113,NC_0153,1,5,INNER_TRAIN,True
STRAIN_000114,NC_0029,1,5,INNER_TRAIN,True
STRAIN_000115,NC_0029,1,5,INNER_TRAIN,True
STRAIN_000116,NC_0154,5,5,OUTER_TEST,True
STRAIN_000117,NC_0155,5,5,OUTER_TEST,True
STRAIN_000118,NC_0156,1,5,INNER_TRAIN,True
STRAIN_000119,NC_0157,1,5,INNER_TRAIN,True
STRAIN_000120,NC_0158,4,5,INNER_TRAIN,True
STRAIN_000121,NC_0159,4,5,INNER_TRAIN,True
STRAIN_000122,NC_0030,4,5,INNER_TRAIN,True
STRAIN_000123,NC_0007,4,5,INNER_TRAIN,True
STRAIN_000124,NC_0160,3,5,INNER_VAL,True
STRAIN_000125,NC_0071,1,5,INNER_TRAIN,True
STRAIN_000126,NC_0072,2,5,INNER_TRAIN,True
STRAIN_000127,NC_0161,3,5,INNER_TRAIN,True
STRAIN_000128,NC_0162,2,5,INNER_TRAIN,True
STRAIN_000129,NC_0024,4,5,INNER_TRAIN,True
STRAIN_000130,NC_0163,1,5,INNER_VAL,True
STRAIN_000131,NC_0164,3,5,INNER_VAL,True
STRAIN_000132,NC_0049,4,5,INNER_TRAIN,True
STRAIN_000133,NC_0165,3,5,INNER_VAL,True
STRAIN_000134,NC_0166,1,5,INNER_TRAIN,True
STRAIN_000135,NC_0018,5,5,OUTER_TEST,True
STRAIN_000136,NC_0167,2,5,INNER_VAL,True
STRAIN_000137,NC_0004,2,5,INNER_TRAIN,True
STRAIN_000138,NC_0004,2,5,INNER_TRAIN,True
STRAIN_000139,NC_0004,2,5,INNER_TRAIN,True
STRAIN_000140,NC_0008,2,5,INNER_TRAIN,True
STRAIN_000141,NC_0168,2,5,INNER_TRAIN,True
STRAIN_000142,NC_0169,1,5,INNER_TRAIN,True
STRAIN_000143,NC_0073,1,5,INNER_TRAIN,True
STRAIN_000144,NC_0074,2,5,INNER_TRAIN,True
STRAIN_000145,NC_0004,2,5,INNER_TRAIN,True
STRAIN_000146,NC_0170,5,5,OUTER_TEST,True
STRAIN_000147,NC_0171,5,5,OUTER_TEST,True
STRAIN_000148,NC_0172,5,5,OUTER_TEST,True
STRAIN_000149,NC_0013,1,5,INNER_TRAIN,True
STRAIN_000150,NC_0015,3,5,INNER_TRAIN,True
STRAIN_000151,NC_0005,5,5,OUTER_TEST,True
STRAIN_000152,NC_0173,1,5,INNER_TRAIN,True
STRAIN_000153,NC_0174,1,5,INNER_TRAIN,True
STRAIN_000154,NC_0175,4,5,INNER_TRAIN,True
STRAIN_000155,NC_0176,3,5,INNER_TRAIN,True
STRAIN_000156,NC_0004,2,5,INNER_TRAIN,True
STRAIN_000157,NC_0048,5,5,OUTER_TEST,True
STRAIN_000158,NC_0177,1,5,INNER_TRAIN,True
STRAIN_000159,NC_0003,3,5,INNER_TRAIN,True
STRAIN_000160,NC_0178,2,5,INNER_TRAIN,True
STRAIN_000161,NC_0179,1,5,INNER_TRAIN,True
STRAIN_000162,NC_0001,1,5,INNER_TRAIN,True
STRAIN_000163,NC_0180,3,5,INNER_TRAIN,True
STRAIN_000164,NC_0181,1,5,INNER_TRAIN,True
STRAIN_000165,NC_0012,4,5,INNER_TRAIN,True
STRAIN_000166,NC_0012,4,5,INNER_TRAIN,True
STRAIN_000167,NC_0182,5,5,OUTER_TEST,True
STRAIN_000168,NC_0075,4,5,INNER_TRAIN,True
STRAIN_000169,NC_0037,5,5,OUTER_TEST,True
STRAIN_000170,NC_0028,3,5,INNER_TRAIN,True
STRAIN_000171,NC_0183,2,5,INNER_TRAIN,True
STRAIN_000172,NC_0031,1,5,INNER_VAL,True
STRAIN_000173,NC_0002,4,5,INNER_TRAIN,True
STRAIN_000174,NC_0024,4,5,INNER_TRAIN,True
STRAIN_000175,NC_0184,3,5,INNER_TRAIN,True
STRAIN_000176,NC_0185,2,5,INNER_TRAIN,True
STRAIN_000177,NC_0186,3,5,INNER_VAL,True
STRAIN_000178,NC_0187,5,5,OUTER_TEST,True
STRAIN_000179,NC_0188,2,5,INNER_TRAIN,True
STRAIN_000180,NC_0189,5,5,OUTER_TEST,True
STRAIN_000181,NC_0023,4,5,INNER_VAL,True
STRAIN_000182,NC_0190,1,5,INNER_TRAIN,True
STRAIN_000183,NC_0191,5,5,OUTER_TEST,True
STRAIN_000184,NC_0007,4,5,INNER_TRAIN,True
STRAIN_000185,NC_0012,4,5,INNER_TRAIN,True
STRAIN_000186,NC_0192,1,5,INNER_VAL,True
STRAIN_000187,NC_0193,4,5,INNER_TRAIN,True
STRAIN_000188,NC_0194,1,5,INNER_TRAIN,True
STRAIN_000189,NC_0016,4,5,INNER_TRAIN,True
STRAIN_000190,NC_0013,1,5,INNER_TRAIN,True
STRAIN_000191,NC_0013,1,5,INNER_TRAIN,True
STRAIN_000193,NC_0196,5,5,OUTER_TEST,True
STRAIN_000194,NC_0197,1,5,INNER_VAL,True
STRAIN_000195,NC_0198,2,5,INNER_TRAIN,True
STRAIN_000196,NC_0022,3,5,INNER_TRAIN,True
STRAIN_000197,NC_0199,3,5,INNER_TRAIN,True
STRAIN_000198,NC_0200,3,5,INNER_VAL,True
STRAIN_000199,NC_0001,1,5,INNER_TRAIN,True
STRAIN_000200,NC_0201,2,5,INNER_TRAIN,True
STRAIN_000201,NC_0202,2,5,INNER_VAL,True
STRAIN_000202,NC_0203,1,5,INNER_TRAIN,True
STRAIN_000203,NC_0204,4,5,INNER_TRAIN,True
STRAIN_000204,NC_0076,2,5,INNER_TRAIN,True
STRAIN_000205,NC_0004,2,5,INNER_TRAIN,True
STRAIN_000206,NC_0004,2,5,INNER_TRAIN,True
STRAIN_000207,NC_0205,3,5,INNER_TRAIN,True
STRAIN_000208,NC_0206,5,5,OUTER_TEST,True
STRAIN_000209,NC_0005,5,5,OUTER_TEST,True
STRAIN_000210,NC_0207,2,5,INNER_TRAIN,True
STRAIN_000211,NC_0014,3,5,INNER_TRAIN,True
STRAIN_000212,NC_0077,2,5,INNER_TRAIN,True
STRAIN_000213,NC_0208,2,5,INNER_TRAIN,True
STRAIN_000214,NC_0003,3,5,INNER_TRAIN,True
STRAIN_000215,NC_0209,5,5,OUTER_TEST,True
STRAIN_000216,NC_0050,3,5,INNER_TRAIN,True
STRAIN_000217,NC_0210,5,5,OUTER_TEST,True
STRAIN_000218,NC_0211,5,5,OUTER_TEST,True
STRAIN_000219,NC_0007,4,5,INNER_TRAIN,True
STRAIN_000220,NC_0212,2,5,INNER_TRAIN,True
STRAIN_000221,NC_0018,5,5,OUTER_TEST,True
STRAIN_000222,NC_0004,2,5,INNER_TRAIN,True
STRAIN_000223,NC_0004,2,5,INNER_TRAIN,True
STRAIN_000224,NC_0213,4,5,INNER_TRAIN,True
STRAIN_000225,NC_0214,2,5,INNER_TRAIN,True
STRAIN_000226,NC_0215,2,5,INNER_TRAIN,True
STRAIN_000227,NC_0216,2,5,INNER_TRAIN,True
STRAIN_000228,NC_0075,4,5,INNER_TRAIN,True
STRAIN_000229,NC_0051,3,5,INNER_TRAIN,True
STRAIN_000230,NC_0013,1,5,INNER_TRAIN,True
STRAIN_000231,NC_0217,1,5,INNER_TRAIN,True
STRAIN_000232,NC_0218,2,5,INNER_TRAIN,True
STRAIN_000233,NC_0006,5,5,OUTER_TEST,True
STRAIN_000234,NC_0052,3,5,INNER_VAL,True
STRAIN_000235,NC_0012,4,5,INNER_TRAIN,True
STRAIN_000236,NC_0219,4,5,INNER_TRAIN,True
STRAIN_000237,NC_0078,3,5,INNER_TRAIN,True
STRAIN_000238,NC_0220,4,5,INNER_TRAIN,True
STRAIN_000239,NC_0013,1,5,INNER_TRAIN,True
STRAIN_000240,NC_0002,4,5,INNER_TRAIN,True
STRAIN_000241,NC_0009,5,5,OUTER_TEST,True
STRAIN_000242,NC_0221,2,5,INNER_TRAIN,True
STRAIN_000243,NC_0013,1,5,INNER_TRAIN,True
STRAIN_000244,NC_0222,3,5,INNER_TRAIN,True
STRAIN_000245,NC_0009,5,5,OUTER_TEST,True
STRAIN_000246,NC_0004,2,5,INNER_TRAIN,True
STRAIN_000247,NC_0223,2,5,INNER_VAL,True
STRAIN_000248,NC_0014,3,5,INNER_TRAIN,True
STRAIN_000249,NC_0049,4,5,INNER_TRAIN,True
STRAIN_000250,NC_0224,4,5,INNER_TRAIN,True
STRAIN_000251,NC_0225,4,5,INNER_TRAIN,True
STRAIN_000252,NC_0032,5,5,OUTER_TEST,True
STRAIN_000253,NC_0226,2,5,INNER_TRAIN,True
STRAIN_000255,NC_0227,5,5,OUTER_TEST,True
STRAIN_000256,NC_0053,1,5,INNER_TRAIN,True
STRAIN_000257,NC_0002,4,5,INNER_TRAIN,True
STRAIN_000258,NC_0004,2,5,INNER_TRAIN,True
STRAIN_000259,NC_0028,3,5,INNER_TRAIN,True
STRAIN_000260,NC_0001,1,5,INNER_TRAIN,True
STRAIN_000261,NC_0228,5,5,OUTER_TEST,True
STRAIN_000262,NC_0074,2,5,INNER_TRAIN,True
STRAIN_000263,NC_0229,1,5,INNER_VAL,True
STRAIN_000264,NC_0230,2,5,INNER_TRAIN,True
STRAIN_000265,NC_0231,4,5,INNER_TRAIN,True
STRAIN_000266,NC_0002,4,5,INNER_TRAIN,True
STRAIN_000267,NC_0068,1,5,INNER_TRAIN,True
STRAIN_000268,NC_0232,4,5,INNER_TRAIN,True
STRAIN_000269,NC_0233,4,5,INNER_TRAIN,True
STRAIN_000270,NC_0234,4,5,INNER_TRAIN,True
STRAIN_000271,NC_0235,1,5,INNER_TRAIN,True
STRAIN_000272,NC_0236,2,5,INNER_TRAIN,True
STRAIN_000273,NC_0237,3,5,INNER_TRAIN,True
STRAIN_000274,NC_0079,5,5,OUTER_TEST,True
STRAIN_000275,NC_0080,2,5,INNER_VAL,True
STRAIN_000276,NC_0238,1,5,INNER_TRAIN,True
STRAIN_000277,NC_0239,3,5,INNER_TRAIN,True
STRAIN_000278,NC_0081,3,5,INNER_TRAIN,True
STRAIN_000279,NC_0004,2,5,INNER_TRAIN,True
STRAIN_000280,NC_0020,2,5,INNER_TRAIN,True
STRAIN_000281,NC_0005,5,5,OUTER_TEST,True
STRAIN_000282,NC_0004,2,5,INNER_TRAIN,True
STRAIN_000283,NC_0007,4,5,INNER_TRAIN,True
STRAIN_000284,NC_0012,4,5,INNER_TRAIN,True
STRAIN_000285,NC_0012,4,5,INNER_TRAIN,True
STRAIN_000286,NC_0240,4,5,INNER_TRAIN,True
STRAIN_000287,NC_0241,1,5,INNER_TRAIN,True
STRAIN_000288,NC_0242,4,5,INNER_TRAIN,True
STRAIN_000289,NC_0023,4,5,INNER_VAL,True
STRAIN_000290,NC_0243,3,5,INNER_TRAIN,True
STRAIN_000291,NC_0011,2,5,INNER_VAL,True
STRAIN_000292,NC_0033,2,5,INNER_TRAIN,True
STRAIN_000294,NC_0245,2,5,INNER_TRAIN,True
STRAIN_000295,NC_0032,5,5,OUTER_TEST,True
STRAIN_000296,NC_0022,3,5,INNER_TRAIN,True
STRAIN_000297,NC_0246,5,5,OUTER_TEST,True
STRAIN_000298,NC_0247,5,5,OUTER_TEST,True
STRAIN_000299,NC_0248,5,5,OUTER_TEST,True
STRAIN_000300,NC_0249,2,5,INNER_TRAIN,True
STRAIN_000301,NC_0038,3,5,INNER_TRAIN,True
STRAIN_000302,NC_0001,1,5,INNER_TRAIN,True
STRAIN_000303,NC_0082,3,5,INNER_TRAIN,True
STRAIN_000304,NC_0032,5,5,OUTER_TEST,True
STRAIN_000305,NC_0250,1,5,INNER_TRAIN,True
STRAIN_000306,NC_0251,2,5,INNER_TRAIN,True
STRAIN_000307,NC_0252,4,5,INNER_TRAIN,True
STRAIN_000308,NC_0253,1,5,INNER_TRAIN,True
STRAIN_000309,NC_0004,2,5,INNER_TRAIN,True
STRAIN_000310,NC_0004,2,5,INNER_TRAIN,True
STRAIN_000311,NC_0254,4,5,INNER_TRAIN,True
STRAIN_000312,NC_0255,3,5,INNER_TRAIN,True
STRAIN_000313,NC_0004,2,5,INNER_TRAIN,True
STRAIN_000314,NC_0012,4,5,INNER_TRAIN,True
STRAIN_000315,NC_0034,2,5,INNER_TRAIN,True
STRAIN_000316,NC_0020,2,5,INNER_TRAIN,True
STRAIN_000317,NC_0256,4,5,INNER_TRAIN,True
STRAIN_000318,NC_0003,3,5,INNER_TRAIN,True
STRAIN_000319,NC_0257,2,5,INNER_TRAIN,True
STRAIN_000320,NC_0039,2,5,INNER_TRAIN,True
STRAIN_000321,NC_0258,1,5,INNER_TRAIN,True
STRAIN_000322,NC_0259,3,5,INNER_VAL,True
STRAIN_000323,NC_0260,5,5,OUTER_TEST,True
STRAIN_000324,NC_0040,1,5,INNER_TRAIN,True
STRAIN_000325,NC_0054,1,5,INNER_TRAIN,True
STRAIN_000326,NC_0014,3,5,INNER_TRAIN,True
STRAIN_000327,NC_0002,4,5,INNER_TRAIN,True
STRAIN_000328,NC_0261,5,5,OUTER_TEST,True
STRAIN_000329,NC_0262,4,5,INNER_VAL,True
STRAIN_000330,NC_0017,1,5,INNER_TRAIN,True
STRAIN_000332,NC_0264,5,5,OUTER_TEST,True
STRAIN_000333,NC_0265,1,5,INNER_TRAIN,True
STRAIN_000334,NC_0007,4,5,INNER_TRAIN,True
STRAIN_000335,NC_0266,1,5,INNER_TRAIN,True
STRAIN_000336,NC_0009,5,5,OUTER_TEST,True
STRAIN_000337,NC_0054,1,5,INNER_TRAIN,True
STRAIN_000338,NC_0267,3,5,INNER_TRAIN,True
STRAIN_000339,NC_0007,4,5,INNER_TRAIN,True
STRAIN_000340,NC_0003,3,5,INNER_TRAIN,True
STRAIN_000341,NC_0041,4,5,INNER_TRAIN,True
STRAIN_000342,NC_0268,1,5,INNER_TRAIN,True
STRAIN_000343,NC_0269,4,5,INNER_TRAIN,True
STRAIN_000344,NC_0083,2,5,INNER_TRAIN,True
STRAIN_000345,NC_0270,1,5,INNER_TRAIN,True
STRAIN_000346,NC_0055,5,5,OUTER_TEST,True
STRAIN_000347,NC_0271,1,5,INNER_VAL,True
STRAIN_000348,NC_0272,5,5,OUTER_TEST,True
STRAIN_000349,NC_0032,5,5,OUTER_TEST,True
STRAIN_000350,NC_0037,5,5,OUTER_TEST,True
STRAIN_000351,NC_0273,2,5,INNER_TRAIN,True
STRAIN_000352,NC_0082,3,5,INNER_TRAIN,True
STRAIN_000353,NC_0040,1,5,INNER_TRAIN,True
STRAIN_000354,NC_0073,1,5,INNER_TRAIN,True
STRAIN_000355,NC_0084,1,5,INNER_TRAIN,True
STRAIN_000356,NC_0274,2,5,INNER_TRAIN,True
STRAIN_000357,NC_0005,5,5,OUTER_TEST,True
STRAIN_000358,NC_0275,1,5,INNER_TRAIN,True
STRAIN_000359,NC_0025,3,5,INNER_TRAIN,True
STRAIN_000360,NC_0004,2,5,INNER_TRAIN,True
STRAIN_000361,NC_0004,2,5,INNER_TRAIN,True
STRAIN_000362,NC_0010,3,5,INNER_TRAIN,True
STRAIN_000363,NC_0042,2,5,INNER_TRAIN,True
STRAIN_000364,NC_0007,4,5,INNER_TRAIN,True
STRAIN_000365,NC_0276,5,5,OUTER_TEST,True
STRAIN_000366,NC_0277,2,5,INNER_TRAIN,True
STRAIN_000367,NC_0085,3,5,INNER_TRAIN,True
STRAIN_000368,NC_0278,5,5,OUTER_TEST,True
STRAIN_000369,NC_0001,1,5,INNER_TRAIN,True
STRAIN_000370,NC_0041,4,5,INNER_TRAIN,True
STRAIN_000371,NC_0007,4,5,INNER_TRAIN,True
STRAIN_000372,NC_0001,1,5,INNER_TRAIN,True
STRAIN_000373,NC_0279,1,5,INNER_TRAIN,True
STRAIN_000374,NC_0003,3,5,INNER_TRAIN,True
STRAIN_000375,NC_0052,3,5,INNER_VAL,True
STRAIN_000376,NC_0003,3,5,INNER_TRAIN,True
STRAIN_000377,NC_0280,2,5,INNER_TRAIN,True
STRAIN_000378,NC_0033,2,5,INNER_TRAIN,True
STRAIN_000379,NC_0071,1,5,INNER_TRAIN,True
STRAIN_000380,NC_0053,1,5,INNER_TRAIN,True
STRAIN_000381,NC_0002,4,5,INNER_TRAIN,True
STRAIN_000382,NC_0281,4,5,INNER_TRAIN,True
STRAIN_000383,NC_0005,5,5,OUTER_TEST,True
STRAIN_000385,NC_0001,1,5,INNER_TRAIN,True
STRAIN_000386,NC_0282,2,5,INNER_TRAIN,True
STRAIN_000387,NC_0283,1,5,INNER_TRAIN,True
STRAIN_000388,NC_0078,3,5,INNER_TRAIN,True
STRAIN_000389,NC_0086,1,5,INNER_TRAIN,True
STRAIN_000390,NC_0001,1,5,INNER_TRAIN,True
STRAIN_000391,NC_0034,2,5,INNER_TRAIN,True
STRAIN_000392,NC_0029,1,5,INNER_TRAIN,True
STRAIN_000393,NC_0030,4,5,INNER_TRAIN,True
STRAIN_000394,NC_0030,4,5,INNER_TRAIN,True
STRAIN_000395,NC_0012,4,5,INNER_TRAIN,True
STRAIN_000396,NC_0017,1,5,INNER_TRAIN,True
STRAIN_000397,NC_0001,1,5,INNER_TRAIN,True
STRAIN_000398,NC_0284,1,5,INNER_TRAIN,True
STRAIN_000399,NC_0001,1,5,INNER_TRAIN,True
STRAIN_000400,NC_0017,1,5,INNER_TRAIN,True
STRAIN_000401,NC_0087,5,5,OUTER_TEST,True
STRAIN_000402,NC_0285,2,5,INNER_TRAIN,True
STRAIN_000403,NC_0024,4,5,INNER_TRAIN,True
STRAIN_000404,NC_0006,5,5,OUTER_TEST,True
STRAIN_000405,NC_0006,5,5,OUTER_TEST,True
STRAIN_000406,NC_0012,4,5,INNER_TRAIN,True
STRAIN_000407,NC_0286,2,5,INNER_TRAIN,True
STRAIN_000408,NC_0007,4,5,INNER_TRAIN,True
STRAIN_000409,NC_0287,5,5,OUTER_TEST,True
STRAIN_000410,NC_0288,1,5,INNER_TRAIN,True
STRAIN_000411,NC_0029,1,5,INNER_TRAIN,True
STRAIN_000412,NC_0012,4,5,INNER_TRAIN,True
STRAIN_000413,NC_0088,2,5,INNER_TRAIN,True
STRAIN_000414,NC_0012,4,5,INNER_TRAIN,True
STRAIN_000415,NC_0289,2,5,INNER_TRAIN,True
STRAIN_000416,NC_0010,3,5,INNER_TRAIN,True
STRAIN_000417,NC_0035,4,5,INNER_TRAIN,True
STRAIN_000418,NC_0001,1,5,INNER_TRAIN,True
STRAIN_000419,NC_0015,3,5,INNER_TRAIN,True
STRAIN_000420,NC_0290,5,5,OUTER_TEST,True
STRAIN_000421,NC_0291,2,5,INNER_TRAIN,True
STRAIN_000422,NC_0292,1,5,INNER_VAL,True
STRAIN_000423,NC_0293,3,5,INNER_TRAIN,True
STRAIN_000424,NC_0042,2,5,INNER_TRAIN,True
STRAIN_000425,NC_0088,2,5,INNER_TRAIN,True
STRAIN_000426,NC_0012,4,5,INNER_TRAIN,True
STRAIN_000427,NC_0008,2,5,INNER_TRAIN,True
STRAIN_000428,NC_0014,3,5,INNER_TRAIN,True
STRAIN_000429,NC_0294,1,5,INNER_TRAIN,True
STRAIN_000430,NC_0007,4,5,INNER_TRAIN,True
STRAIN_000431,NC_0295,4,5,INNER_TRAIN,True
STRAIN_000432,NC_0001,1,5,INNER_TRAIN,True
STRAIN_000433,NC_0043,5,5,OUTER_TEST,True
STRAIN_000434,NC_0057,2,5,INNER_VAL,True
STRAIN_000435,NC_0296,3,5,INNER_TRAIN,True
STRAIN_000436,NC_0297,5,5,OUTER_TEST,True
STRAIN_000437,NC_0003,3,5,INNER_TRAIN,True
STRAIN_000438,NC_0001,1,5,INNER_TRAIN,True
STRAIN_000439,NC_0298,2,5,INNER_TRAIN,True
STRAIN_000440,NC_0299,3,5,INNER_TRAIN,True
STRAIN_000441,NC_0300,5,5,OUTER_TEST,True
STRAIN_000443,NC_0301,5,5,OUTER_TEST,True
STRAIN_000444,NC_0002,4,5,INNER_TRAIN,True
STRAIN_000445,NC_0086,1,5,INNER_TRAIN,True
STRAIN_000446,NC_0019,2,5,INNER_TRAIN,True
STRAIN_000447,NC_0302,3,5,INNER_VAL,True
STRAIN_000448,NC_0003,3,5,INNER_TRAIN,True
STRAIN_000449,NC_0303,2,5,INNER_TRAIN,True
STRAIN_000450,NC_0304,2,5,INNER_VAL,True
STRAIN_000451,NC_0038,3,5,INNER_TRAIN,True
STRAIN_000452,NC_0007,4,5,INNER_TRAIN,True
STRAIN_000453,NC_0305,3,5,INNER_TRAIN,True
STRAIN_000454,NC_0010,3,5,INNER_TRAIN,True
STRAIN_000455,NC_0306,5,5,OUTER_TEST,True
STRAIN_000456,NC_0307,4,5,INNER_TRAIN,True
STRAIN_000457,NC_0014,3,5,INNER_TRAIN,True
STRAIN_000458,NC_0051,3,5,INNER_TRAIN,True
STRAIN_000459,NC_0308,3,5,INNER_TRAIN,True
STRAIN_000460,NC_0089,5,5,OUTER_TEST,True
STRAIN_000461,NC_0016,4,5,INNER_TRAIN,True
STRAIN_000462,NC_0016,4,5,INNER_TRAIN,True
STRAIN_000463,NC_0051,3,5,INNER_TRAIN,True
STRAIN_000464,NC_0016,4,5,INNER_TRAIN,True
STRAIN_000465,NC_0309,5,5,OUTER_TEST,True
STRAIN_000466,NC_0072,2,5,INNER_TRAIN,True
STRAIN_000467,NC_0087,5,5,OUTER_TEST,True
STRAIN_000468,NC_0310,5,5,OUTER_TEST,True
STRAIN_000469,NC_0089,5,5,OUTER_TEST,True
STRAIN_000470,NC_0025,3,5,INNER_TRAIN,True
STRAIN_000471,NC_0013,1,5,INNER_TRAIN,True
STRAIN_000472,NC_0311,5,5,OUTER_TEST,True
STRAIN_000473,NC_0312,2,5,INNER_TRAIN,True
STRAIN_000474,NC_0313,2,5,INNER_TRAIN,True
STRAIN_000475,NC_0314,3,5,INNER_TRAIN,True
STRAIN_000476,NC_0036,1,5,INNER_TRAIN,True
STRAIN_000477,NC_0016,4,5,INNER_TRAIN,True
STRAIN_000478,NC_0015,3,5,INNER_TRAIN,True
STRAIN_000479,NC_0046,4,5,INNER_TRAIN,True
STRAIN_000480,NC_0021,1,5,INNER_TRAIN,True
STRAIN_000481,NC_0058,4,5,INNER_TRAIN,True
