outer_fold,strain_entity_id,species,nearclone_block,original_outer_fold,role
1,STRAIN_000159,Lactiplantibacillus plantarum subsp. plantarum ATCC 14917 = JCM 1149 = CGMCC 1.2437,NC_0003,3,INNER_TRAIN
1,STRAIN_000160,Micromonospora aurantiaca,NC_0178,2,INNER_TRAIN
1,STRAIN_000163,Bifidobacterium adolescentis,NC_0180,3,INNER_TRAIN
1,STRAIN_000165,Bacillus subtilis subsp. subtilis str.,NC_0012,4,INNER_TRAIN
1,STRAIN_000166,Bacillus subtilis subsp. subtilis str.,NC_0012,4,INNER_TRAIN
1,STRAIN_000167,Bifidobacterium bifidum,NC_0182,5,INNER_TRAIN
1,STRAIN_000168,Lacticaseibacillus paracasei subsp. paracasei 8700:2,NC_0075,4,INNER_TRAIN
1,STRAIN_000169,Bifidobacterium breve DSM 20213 = JCM 1192,NC_0037,5,INNER_TRAIN
1,STRAIN_000170,Limosilactobacillus fermentum,NC_0028,3,INNER_TRAIN
1,STRAIN_000171,Ligilactobacillus salivarius DSM 20555 =,NC_0183,2,INNER_TRAIN
1,STRAIN_000173,Lactobacillus acidophilus,NC_0002,4,INNER_TRAIN
1,STRAIN_000175,Bifidobacterium bifidum,NC_0184,3,INNER_TRAIN
1,STRAIN_000176,Lactobacillus helveticus,NC_0185,2,INNER_TRAIN
1,STRAIN_000177,Lactobacillus crispatus,NC_0186,3,INNER_TRAIN
1,STRAIN_000179,Bifidobacterium longum subsp. longum,NC_0188,2,INNER_TRAIN
1,STRAIN_000180,Limosilactobacillus reuteri subsp. rodentium,NC_0189,5,INNER_TRAIN
1,STRAIN_000181,Lacticaseibacillus rhamnosus,NC_0023,4,INNER_TRAIN
1,STRAIN_000183,Lactobacillus delbrueckii subsp. bulgaricus,NC_0191,5,INNER_TRAIN
1,STRAIN_000184,Streptococcus thermophilus,NC_0007,4,INNER_TRAIN
1,STRAIN_000185,Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10,NC_0012,4,INNER_TRAIN
1,STRAIN_000187,Lactobacillus helveticus,NC_0193,4,INNER_TRAIN
1,STRAIN_000189,Lactococcus lactis subsp. lactis,NC_0016,4,INNER_TRAIN
1,STRAIN_000193,Carnobacterium sp.,NC_0196,5,INNER_TRAIN
1,STRAIN_000195,Bdellovibrio bacteriovorus,NC_0198,2,INNER_TRAIN
1,STRAIN_000197,Bifidobacterium longum subsp. infantis,NC_0199,3,INNER_TRAIN
1,STRAIN_000200,Bifidobacterium longum subsp. longum,NC_0201,2,INNER_TRAIN
1,STRAIN_000201,Lactobacillus kefiranofaciens subsp. kefiranofaciens,NC_0202,2,INNER_TRAIN
1,STRAIN_000204,Bifidobacterium breve,NC_0076,2,INNER_TRAIN
1,STRAIN_000205,Bifidobacterium animalis subsp. lactis,NC_0004,2,INNER_TRAIN
1,STRAIN_000206,Bifidobacterium animalis subsp. lactis,NC_0004,2,INNER_TRAIN
1,STRAIN_000207,Streptococcus salivarius,NC_0205,3,INNER_TRAIN
1,STRAIN_000208,Bifidobacterium breve,NC_0206,5,INNER_TRAIN
1,STRAIN_000209,Lacticaseibacillus rhamnosus,NC_0005,5,INNER_TRAIN
1,STRAIN_000210,Bacillus subtilis subsp. subtilis str.,NC_0207,2,INNER_TRAIN
1,STRAIN_000211,Lacticaseibacillus rhamnosus,NC_0014,3,INNER_TRAIN
1,STRAIN_000212,Limosilactobacillus reuteri subsp. suis,NC_0077,2,INNER_TRAIN
1,STRAIN_000213,Lactococcus cremoris subsp. cremoris,NC_0208,2,INNER_TRAIN
1,STRAIN_000214,Lactiplantibacillus plantarum subsp. plantarum,NC_0003,3,INNER_TRAIN
1,STRAIN_000215,Limosilactobacillus mucosae,NC_0209,5,INNER_TRAIN
1,STRAIN_000216,Streptococcus thermophilus,NC_0050,3,INNER_TRAIN
1,STRAIN_000217,Bifidobacterium animalis subsp. animalis,NC_0210,5,INNER_TRAIN
1,STRAIN_000218,Pseudomonas fluorescens,NC_0211,5,INNER_TRAIN
1,STRAIN_000219,Streptococcus thermophilus,NC_0007,4,INNER_TRAIN
1,STRAIN_000220,Bifidobacterium bifidum,NC_0212,2,INNER_TRAIN
1,STRAIN_000221,Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088,NC_0018,5,INNER_TRAIN
1,STRAIN_000222,Bifidobacterium animalis subsp. lactis,NC_0004,2,INNER_TRAIN
1,STRAIN_000223,Bifidobacterium animalis subsp. lactis,NC_0004,2,INNER_TRAIN
1,STRAIN_000224,Megasphaera elsdenii,NC_0213,4,INNER_TRAIN
1,STRAIN_000225,Tetragenococcus halophilus,NC_0214,2,INNER_TRAIN
1,STRAIN_000226,Streptococcus salivarius,NC_0215,2,INNER_TRAIN
1,STRAIN_000227,Bifidobacterium asteroides,NC_0216,2,INNER_TRAIN
1,STRAIN_000228,Lacticaseibacillus casei,NC_0075,4,INNER_TRAIN
1,STRAIN_000229,Lactococcus cremoris subsp. cremoris,NC_0051,3,INNER_TRAIN
1,STRAIN_000232,Streptococcus thermophilus,NC_0218,2,INNER_TRAIN
1,STRAIN_000233,Lactiplantibacillus plantarum,NC_0006,5,INNER_TRAIN
1,STRAIN_000234,Lactococcus lactis subsp. lactis,NC_0052,3,INNER_TRAIN
1,STRAIN_000235,Bacillus subtilis subsp. subtilis,NC_0012,4,INNER_TRAIN
1,STRAIN_000236,Bifidobacterium thermophilum,NC_0219,4,INNER_TRAIN
1,STRAIN_000238,Levilactobacillus brevis,NC_0220,4,INNER_TRAIN
1,STRAIN_000240,Lactobacillus acidophilus,NC_0002,4,INNER_TRAIN
1,STRAIN_000241,Lactiplantibacillus plantarum subsp. plantarum P-8,NC_0009,5,INNER_TRAIN
1,STRAIN_000242,Limosilactobacillus fermentum,NC_0221,2,INNER_TRAIN
1,STRAIN_000244,Limosilactobacillus reuteri,NC_0222,3,INNER_TRAIN
1,STRAIN_000245,Lactiplantibacillus plantarum 16,NC_0009,5,INNER_TRAIN
1,STRAIN_000246,Bifidobacterium animalis subsp. lactis,NC_0004,2,INNER_TRAIN
1,STRAIN_000247,Lacticaseibacillus rhamnosus,NC_0223,2,INNER_TRAIN
1,STRAIN_000248,Lacticaseibacillus rhamnosus,NC_0014,3,INNER_TRAIN
1,STRAIN_000250,Lactobacillus helveticus,NC_0224,4,INNER_TRAIN
1,STRAIN_000251,Limosilactobacillus reuteri,NC_0225,4,INNER_TRAIN
1,STRAIN_000252,Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456,NC_0032,5,INNER_TRAIN
1,STRAIN_000253,Limosilactobacillus fermentum,NC_0226,2,INNER_TRAIN
1,STRAIN_000254,Lactiplantibacillus plantarum,NC_0006,5,INNER_TRAIN
1,STRAIN_000255,Lactococcus cremoris subsp. cremoris,NC_0227,5,INNER_TRAIN
1,STRAIN_000257,Lactobacillus acidophilus,NC_0002,4,INNER_TRAIN
1,STRAIN_000258,Bifidobacterium animalis subsp. lactis,NC_0004,2,INNER_TRAIN
1,STRAIN_000259,Limosilactobacillus fermentum,NC_0028,3,INNER_TRAIN
1,STRAIN_000261,Limosilactobacillus fermentum,NC_0228,5,INNER_TRAIN
1,STRAIN_000262,Lactococcus lactis subsp. lactis,NC_0074,2,INNER_TRAIN
1,STRAIN_000264,Pediococcus pentosaceus,NC_0230,2,INNER_TRAIN
1,STRAIN_000265,Bifidobacterium longum,NC_0231,4,INNER_TRAIN
1,STRAIN_000266,Lactobacillus acidophilus,NC_0002,4,INNER_TRAIN
1,STRAIN_000268,Lacticaseibacillus casei,NC_0232,4,INNER_TRAIN
1,STRAIN_000269,Streptococcus thermophilus,NC_0233,4,INNER_TRAIN
1,STRAIN_000270,Streptococcus thermophilus,NC_0234,4,INNER_TRAIN
1,STRAIN_000272,Lactobacillus helveticus,NC_0236,2,INNER_TRAIN
1,STRAIN_000274,Bifidobacterium breve,NC_0079,5,INNER_TRAIN
1,STRAIN_000275,Bifidobacterium breve,NC_0080,2,INNER_TRAIN
1,STRAIN_000277,Streptococcus thermophilus,NC_0239,3,INNER_TRAIN
1,STRAIN_000278,Lacticaseibacillus paracasei,NC_0081,3,INNER_TRAIN
1,STRAIN_000279,Bifidobacterium animalis subsp. lactis,NC_0004,2,INNER_TRAIN
1,STRAIN_000280,Lacticaseibacillus casei DSM 20011 = JCM 1134 = ATCC 393,NC_0020,2,INNER_TRAIN
1,STRAIN_000281,Lacticaseibacillus rhamnosus DSM 20021 = JCM 1136 = NBRC 3425,NC_0005,5,INNER_TRAIN
1,STRAIN_000282,Bifidobacterium animalis,NC_0004,2,INNER_TRAIN
1,STRAIN_000283,Streptococcus thermophilus,NC_0007,4,INNER_TRAIN
1,STRAIN_000284,Bacillus subtilis subsp. subtilis str.,NC_0012,4,INNER_TRAIN
1,STRAIN_000285,Bacillus subtilis subsp. subtilis str.,NC_0012,4,INNER_TRAIN
1,STRAIN_000286,Bifidobacterium adolescentis,NC_0240,4,INNER_TRAIN
1,STRAIN_000288,Bifidobacterium pseudocatenulatum,NC_0242,4,INNER_TRAIN
1,STRAIN_000289,Lacticaseibacillus rhamnosus,NC_0023,4,INNER_TRAIN
1,STRAIN_000290,Limosilactobacillus reuteri,NC_0243,3,INNER_TRAIN
1,STRAIN_000291,Bifidobacterium longum subsp. infantis,NC_0011,2,INNER_TRAIN
1,STRAIN_000292,Lactiplantibacillus plantarum,NC_0033,2,INNER_TRAIN
1,STRAIN_000294,Bifidobacterium adolescentis,NC_0245,2,INNER_TRAIN
1,STRAIN_000295,Bifidobacterium bifidum,NC_0032,5,INNER_TRAIN
1,STRAIN_000297,Bifidobacterium adolescentis,NC_0246,5,INNER_TRAIN
1,STRAIN_000298,Bifidobacterium thermophilum,NC_0247,5,INNER_TRAIN
1,STRAIN_000299,Lacticaseibacillus rhamnosus,NC_0248,5,INNER_TRAIN
1,STRAIN_000300,Limosilactobacillus reuteri,NC_0249,2,INNER_TRAIN
1,STRAIN_000303,Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505,NC_0082,3,INNER_TRAIN
1,STRAIN_000304,Bifidobacterium bifidum ATCC 29521 = JCM 1255 =,NC_0032,5,INNER_TRAIN
1,STRAIN_000306,Bifidobacterium pseudolongum,NC_0251,2,INNER_TRAIN
1,STRAIN_000307,Lactococcus lactis subsp. lactis,NC_0252,4,INNER_TRAIN
1,STRAIN_000309,Bifidobacterium animalis subsp. lactis KLDS2.0603,NC_0004,2,INNER_TRAIN
1,STRAIN_000310,Bifidobacterium animalis,NC_0004,2,INNER_TRAIN
1,STRAIN_000312,Bifidobacterium adolescentis,NC_0255,3,INNER_TRAIN
1,STRAIN_000313,Bifidobacterium animalis subsp. lactis,NC_0004,2,INNER_TRAIN
1,STRAIN_000314,Bacillus subtilis subsp. subtilis,NC_0012,4,INNER_TRAIN
1,STRAIN_000315,Lacticaseibacillus paracasei subsp. paracasei,NC_0034,2,INNER_TRAIN
1,STRAIN_000316,Lacticaseibacillus casei DSM 20011 = JCM 1134 =,NC_0020,2,INNER_TRAIN
1,STRAIN_000317,Bifidobacterium longum,NC_0256,4,INNER_TRAIN
1,STRAIN_000318,Lactiplantibacillus plantarum,NC_0003,3,INNER_TRAIN
1,STRAIN_000319,Heyndrickxia coagulans DSM 1 =,NC_0257,2,INNER_TRAIN
1,STRAIN_000320,Lactococcus lactis subsp. lactis,NC_0039,2,INNER_TRAIN
1,STRAIN_000323,Levilactobacillus brevis,NC_0260,5,INNER_TRAIN
1,STRAIN_000326,Lacticaseibacillus rhamnosus,NC_0014,3,INNER_TRAIN
1,STRAIN_000327,Lactobacillus acidophilus,NC_0002,4,INNER_TRAIN
1,STRAIN_000328,Bifidobacterium pseudocatenulatum,NC_0261,5,INNER_TRAIN
1,STRAIN_000332,Lactobacillus helveticus,NC_0264,5,INNER_TRAIN
1,STRAIN_000334,Streptococcus thermophilus,NC_0007,4,INNER_TRAIN
1,STRAIN_000336,Lactiplantibacillus plantarum,NC_0009,5,INNER_TRAIN
1,STRAIN_000338,Lactobacillus helveticus,NC_0267,3,INNER_TRAIN
1,STRAIN_000339,Streptococcus thermophilus,NC_0007,4,INNER_TRAIN
1,STRAIN_000340,Lactiplantibacillus plantarum,NC_0003,3,INNER_TRAIN
1,STRAIN_000341,Limosilactobacillus fermentum,NC_0041,4,INNER_TRAIN
1,STRAIN_000343,Bifidobacterium adolescentis,NC_0269,4,INNER_TRAIN
1,STRAIN_000344,Levilactobacillus brevis,NC_0083,2,INNER_TRAIN
1,STRAIN_000346,Bifidobacterium bifidum,NC_0055,5,INNER_TRAIN
1,STRAIN_000348,Bifidobacterium bifidum,NC_0272,5,INNER_TRAIN
1,STRAIN_000349,Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456,NC_0032,5,INNER_TRAIN
1,STRAIN_000350,Bifidobacterium breve DSM 20213 =,NC_0037,5,INNER_TRAIN
1,STRAIN_000351,Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043,NC_0273,2,INNER_TRAIN
1,STRAIN_000352,Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505,NC_0082,3,INNER_TRAIN
1,STRAIN_000356,Bifidobacterium longum subsp. infantis,NC_0274,2,INNER_TRAIN
1,STRAIN_000357,Lacticaseibacillus rhamnosus,NC_0005,5,INNER_TRAIN
1,STRAIN_000359,Lacticaseibacillus paracasei,NC_0025,3,INNER_TRAIN
1,STRAIN_000360,Bifidobacterium animalis subsp. lactis,NC_0004,2,INNER_TRAIN
1,STRAIN_000361,Bifidobacterium animalis subsp. lactis,NC_0004,2,INNER_TRAIN
1,STRAIN_000362,Lactiplantibacillus plantarum subsp. plantarum,NC_0010,3,INNER_TRAIN
1,STRAIN_000363,Lactiplantibacillus plantarum,NC_0042,2,INNER_TRAIN
1,STRAIN_000364,Streptococcus thermophilus,NC_0007,4,INNER_TRAIN
1,STRAIN_000365,Bifidobacterium longum subsp. infantis,NC_0276,5,INNER_TRAIN
1,STRAIN_000366,Bifidobacterium bifidum,NC_0277,2,INNER_TRAIN
1,STRAIN_000367,Bifidobacterium breve,NC_0085,3,INNER_TRAIN
1,STRAIN_000368,Bifidobacterium longum,NC_0278,5,INNER_TRAIN
1,STRAIN_000370,Limosilactobacillus fermentum,NC_0041,4,INNER_TRAIN
1,STRAIN_000371,Streptococcus thermophilus,NC_0007,4,INNER_TRAIN
1,STRAIN_000374,Lactiplantibacillus plantarum,NC_0003,3,INNER_TRAIN
1,STRAIN_000375,Lactococcus lactis subsp. lactis,NC_0052,3,INNER_TRAIN
1,STRAIN_000376,Lactiplantibacillus plantarum,NC_0003,3,INNER_TRAIN
1,STRAIN_000378,Lactiplantibacillus plantarum,NC_0033,2,INNER_TRAIN
1,STRAIN_000381,Lactobacillus acidophilus DSM 20079 = JCM 1132 = NBRC 13951 = CIP 76.13,NC_0002,4,INNER_TRAIN
1,STRAIN_000382,Lactobacillus crispatus DSM 20584 = JCM 1185 = ATCC 33820,NC_0281,4,INNER_TRAIN
1,STRAIN_000383,Lacticaseibacillus rhamnosus DSM 20021 = JCM 1136 = NBRC 3425,NC_0005,5,INNER_TRAIN
1,STRAIN_000384,Lacticaseibacillus paracasei subsp. tolerans,NC_0056,2,INNER_TRAIN
1,STRAIN_000386,Bifidobacterium longum subsp. longum,NC_0282,2,INNER_TRAIN
1,STRAIN_000391,Lacticaseibacillus paracasei,NC_0034,2,INNER_TRAIN
1,STRAIN_000393,Levilactobacillus brevis,NC_0030,4,INNER_TRAIN
1,STRAIN_000394,Levilactobacillus brevis,NC_0030,4,INNER_TRAIN
1,STRAIN_000395,Bacillus subtilis subsp. subtilis,NC_0012,4,INNER_TRAIN
1,STRAIN_000401,Lactococcus lactis,NC_0087,5,INNER_TRAIN
1,STRAIN_000402,Clostridium butyricum,NC_0285,2,INNER_TRAIN
1,STRAIN_000404,Lactiplantibacillus plantarum,NC_0006,5,INNER_TRAIN
1,STRAIN_000405,Lactiplantibacillus plantarum,NC_0006,5,INNER_TRAIN
1,STRAIN_000406,Bacillus subtilis subsp. subtilis,NC_0012,4,INNER_TRAIN
1,STRAIN_000407,Lactiplantibacillus plantarum,NC_0286,2,INNER_TRAIN
1,STRAIN_000408,Streptococcus thermophilus,NC_0007,4,INNER_TRAIN
1,STRAIN_000409,Lactiplantibacillus plantarum,NC_0287,5,INNER_TRAIN
1,STRAIN_000412,Bacillus subtilis subsp. subtilis,NC_0012,4,INNER_TRAIN
1,STRAIN_000413,Lactobacillus helveticus,NC_0088,2,INNER_TRAIN
1,STRAIN_000414,Bacillus subtilis subsp. subtilis,NC_0012,4,INNER_TRAIN
1,STRAIN_000415,Streptococcus thermophilus,NC_0289,2,INNER_TRAIN
1,STRAIN_000416,Lactiplantibacillus plantarum,NC_0010,3,INNER_TRAIN
1,STRAIN_000417,Bifidobacterium longum,NC_0035,4,INNER_TRAIN
1,STRAIN_000419,Lacticaseibacillus rhamnosus,NC_0015,3,INNER_TRAIN
1,STRAIN_000420,Levilactobacillus brevis,NC_0290,5,INNER_TRAIN
1,STRAIN_000421,Latilactobacillus curvatus,NC_0291,2,INNER_TRAIN
1,STRAIN_000423,Limosilactobacillus fermentum,NC_0293,3,INNER_TRAIN
1,STRAIN_000424,Lactiplantibacillus plantarum,NC_0042,2,INNER_TRAIN
1,STRAIN_000425,Lactobacillus helveticus,NC_0088,2,INNER_TRAIN
1,STRAIN_000426,Bacillus subtilis subsp. subtilis,NC_0012,4,INNER_TRAIN
1,STRAIN_000428,Lacticaseibacillus rhamnosus,NC_0014,3,INNER_TRAIN
1,STRAIN_000430,Streptococcus thermophilus,NC_0007,4,INNER_TRAIN
1,STRAIN_000431,Lactococcus cremoris subsp. cremoris,NC_0295,4,INNER_TRAIN
