strain_entity_id,lineage_95_block,formal_fold,role
STRAIN_000080,ANI95_0015,4,INNER_TRAIN
STRAIN_000081,ANI95_0015,4,INNER_TRAIN
STRAIN_000083,ANI95_0006,4,INNER_TRAIN
STRAIN_000086,ANI95_0006,4,INNER_TRAIN
STRAIN_000090,ANI95_0003,4,INNER_TRAIN
STRAIN_000091,ANI95_0003,4,INNER_TRAIN
STRAIN_000095,ANI95_0002,4,INNER_TRAIN
STRAIN_000096,ANI95_0024,4,INNER_TRAIN
STRAIN_000097,ANI95_0040,4,INNER_TRAIN
STRAIN_000098,ANI95_0008,4,INNER_TRAIN
STRAIN_000099,ANI95_0041,4,INNER_TRAIN
STRAIN_000100,ANI95_0002,4,INNER_TRAIN
STRAIN_000101,ANI95_0042,4,INNER_TRAIN
STRAIN_000102,ANI95_0025,4,INNER_TRAIN
STRAIN_000103,ANI95_0002,4,INNER_TRAIN
STRAIN_000104,ANI95_0014,4,INNER_TRAIN
STRAIN_000105,ANI95_0015,4,INNER_TRAIN
STRAIN_000106,ANI95_0043,4,INNER_TRAIN
STRAIN_000107,ANI95_0006,4,INNER_TRAIN
STRAIN_000111,ANI95_0045,4,INNER_TRAIN
STRAIN_000112,ANI95_0003,4,INNER_TRAIN
STRAIN_000113,ANI95_0046,4,INNER_TRAIN
STRAIN_000119,ANI95_0019,4,INNER_TRAIN
STRAIN_000120,ANI95_0021,4,INNER_TRAIN
STRAIN_000121,ANI95_0050,4,INNER_TRAIN
STRAIN_000122,ANI95_0009,4,INNER_TRAIN
STRAIN_000126,ANI95_0015,4,INNER_TRAIN
STRAIN_000127,ANI95_0017,4,INNER_TRAIN
STRAIN_000128,ANI95_0051,4,INNER_TRAIN
STRAIN_000129,ANI95_0006,4,INNER_TRAIN
STRAIN_000130,ANI95_0052,4,INNER_TRAIN
STRAIN_000131,ANI95_0053,4,INNER_TRAIN
STRAIN_000134,ANI95_0055,4,INNER_TRAIN
STRAIN_000135,ANI95_0002,4,INNER_TRAIN
STRAIN_000136,ANI95_0056,4,INNER_TRAIN
STRAIN_000137,ANI95_0011,4,INNER_TRAIN
STRAIN_000138,ANI95_0011,4,INNER_TRAIN
STRAIN_000139,ANI95_0011,4,INNER_TRAIN
STRAIN_000141,ANI95_0057,4,INNER_TRAIN
STRAIN_000144,ANI95_0008,4,INNER_TRAIN
STRAIN_000145,ANI95_0011,4,INNER_TRAIN
STRAIN_000146,ANI95_0059,4,INNER_TRAIN
STRAIN_000147,ANI95_0060,4,INNER_TRAIN
STRAIN_000148,ANI95_0061,4,INNER_TRAIN
STRAIN_000150,ANI95_0003,4,INNER_TRAIN
STRAIN_000151,ANI95_0003,4,INNER_TRAIN
STRAIN_000153,ANI95_0019,4,INNER_TRAIN
STRAIN_000155,ANI95_0002,4,INNER_TRAIN
STRAIN_000156,ANI95_0011,4,INNER_TRAIN
STRAIN_000157,ANI95_0015,4,INNER_TRAIN
STRAIN_000158,ANI95_0025,4,INNER_TRAIN
STRAIN_000160,ANI95_0064,4,INNER_TRAIN
STRAIN_000165,ANI95_0014,4,INNER_TRAIN
STRAIN_000166,ANI95_0014,4,INNER_TRAIN
STRAIN_000171,ANI95_0025,4,INNER_TRAIN
STRAIN_000172,ANI95_0006,4,INNER_TRAIN
STRAIN_000173,ANI95_0010,4,INNER_TRAIN
STRAIN_000174,ANI95_0006,4,INNER_TRAIN
STRAIN_000176,ANI95_0017,4,INNER_TRAIN
STRAIN_000177,ANI95_0028,4,INNER_TRAIN
STRAIN_000179,ANI95_0002,4,INNER_TRAIN
STRAIN_000180,ANI95_0006,4,INNER_TRAIN
STRAIN_000181,ANI95_0003,4,INNER_TRAIN
STRAIN_000182,ANI95_0066,4,INNER_TRAIN
STRAIN_000183,ANI95_0019,4,INNER_TRAIN
STRAIN_000185,ANI95_0014,4,INNER_TRAIN
STRAIN_000186,ANI95_0067,4,INNER_TRAIN
STRAIN_000187,ANI95_0017,4,INNER_TRAIN
STRAIN_000188,ANI95_0019,4,INNER_TRAIN
STRAIN_000189,ANI95_0008,4,INNER_TRAIN
STRAIN_000193,ANI95_0068,4,INNER_TRAIN
STRAIN_000194,ANI95_0069,4,INNER_TRAIN
STRAIN_000196,ANI95_0002,4,INNER_TRAIN
STRAIN_000197,ANI95_0002,4,INNER_TRAIN
STRAIN_000198,ANI95_0071,4,INNER_TRAIN
STRAIN_000200,ANI95_0002,4,INNER_TRAIN
STRAIN_000202,ANI95_0002,4,INNER_TRAIN
STRAIN_000205,ANI95_0011,4,INNER_TRAIN
STRAIN_000206,ANI95_0011,4,INNER_TRAIN
STRAIN_000207,ANI95_0029,4,INNER_TRAIN
STRAIN_000209,ANI95_0003,4,INNER_TRAIN
STRAIN_000210,ANI95_0014,4,INNER_TRAIN
STRAIN_000211,ANI95_0003,4,INNER_TRAIN
STRAIN_000212,ANI95_0006,4,INNER_TRAIN
STRAIN_000213,ANI95_0015,4,INNER_TRAIN
STRAIN_000215,ANI95_0074,4,INNER_TRAIN
STRAIN_000217,ANI95_0011,4,INNER_TRAIN
STRAIN_000221,ANI95_0002,4,INNER_TRAIN
STRAIN_000222,ANI95_0011,4,INNER_TRAIN
STRAIN_000223,ANI95_0011,4,INNER_TRAIN
STRAIN_000224,ANI95_0076,4,INNER_TRAIN
STRAIN_000225,ANI95_0077,4,INNER_TRAIN
STRAIN_000226,ANI95_0029,4,INNER_TRAIN
STRAIN_000229,ANI95_0015,4,INNER_TRAIN
STRAIN_000231,ANI95_0014,4,INNER_TRAIN
STRAIN_000234,ANI95_0008,4,INNER_TRAIN
STRAIN_000235,ANI95_0014,4,INNER_TRAIN
STRAIN_000236,ANI95_0079,4,INNER_TRAIN
STRAIN_000237,ANI95_0014,4,INNER_TRAIN
STRAIN_000238,ANI95_0009,4,INNER_TRAIN
STRAIN_000240,ANI95_0010,4,INNER_TRAIN
STRAIN_000244,ANI95_0006,4,INNER_TRAIN
STRAIN_000246,ANI95_0011,4,INNER_TRAIN
STRAIN_000247,ANI95_0003,4,INNER_TRAIN
STRAIN_000248,ANI95_0003,4,INNER_TRAIN
STRAIN_000250,ANI95_0017,4,INNER_TRAIN
STRAIN_000251,ANI95_0006,4,INNER_TRAIN
STRAIN_000255,ANI95_0015,4,INNER_TRAIN
STRAIN_000256,ANI95_0009,4,INNER_TRAIN
STRAIN_000257,ANI95_0010,4,INNER_TRAIN
STRAIN_000258,ANI95_0011,4,INNER_TRAIN
STRAIN_000262,ANI95_0008,4,INNER_TRAIN
STRAIN_000263,ANI95_0008,4,INNER_TRAIN
STRAIN_000265,ANI95_0002,4,INNER_TRAIN
STRAIN_000266,ANI95_0010,4,INNER_TRAIN
STRAIN_000267,ANI95_0003,4,INNER_TRAIN
STRAIN_000272,ANI95_0017,4,INNER_TRAIN
STRAIN_000279,ANI95_0011,4,INNER_TRAIN
STRAIN_000281,ANI95_0003,4,INNER_TRAIN
STRAIN_000282,ANI95_0011,4,INNER_TRAIN
STRAIN_000284,ANI95_0014,4,INNER_TRAIN
STRAIN_000285,ANI95_0014,4,INNER_TRAIN
STRAIN_000287,ANI95_0014,4,INNER_TRAIN
STRAIN_000289,ANI95_0003,4,INNER_TRAIN
STRAIN_000290,ANI95_0006,4,INNER_TRAIN
STRAIN_000291,ANI95_0002,4,INNER_TRAIN
STRAIN_000296,ANI95_0002,4,INNER_TRAIN
STRAIN_000298,ANI95_0080,4,INNER_TRAIN
STRAIN_000299,ANI95_0003,4,INNER_TRAIN
STRAIN_000300,ANI95_0006,4,INNER_TRAIN
STRAIN_000305,ANI95_0002,4,INNER_TRAIN
STRAIN_000307,ANI95_0008,4,INNER_TRAIN
STRAIN_000308,ANI95_0009,4,INNER_TRAIN
STRAIN_000309,ANI95_0011,4,INNER_TRAIN
STRAIN_000310,ANI95_0011,4,INNER_TRAIN
STRAIN_000313,ANI95_0011,4,INNER_TRAIN
STRAIN_000314,ANI95_0014,4,INNER_TRAIN
STRAIN_000317,ANI95_0002,4,INNER_TRAIN
STRAIN_000319,ANI95_0022,4,INNER_TRAIN
STRAIN_000320,ANI95_0008,4,INNER_TRAIN
STRAIN_000323,ANI95_0009,4,INNER_TRAIN
STRAIN_000324,ANI95_0022,4,INNER_TRAIN
STRAIN_000326,ANI95_0003,4,INNER_TRAIN
STRAIN_000327,ANI95_0010,4,INNER_TRAIN
STRAIN_000332,ANI95_0017,4,INNER_TRAIN
STRAIN_000335,ANI95_0003,4,INNER_TRAIN
STRAIN_000338,ANI95_0017,4,INNER_TRAIN
STRAIN_000344,ANI95_0009,4,INNER_TRAIN
STRAIN_000353,ANI95_0022,4,INNER_TRAIN
STRAIN_000355,ANI95_0002,4,INNER_TRAIN
STRAIN_000356,ANI95_0002,4,INNER_TRAIN
STRAIN_000357,ANI95_0003,4,INNER_TRAIN
STRAIN_000360,ANI95_0011,4,INNER_TRAIN
STRAIN_000361,ANI95_0011,4,INNER_TRAIN
STRAIN_000365,ANI95_0002,4,INNER_TRAIN
STRAIN_000368,ANI95_0002,4,INNER_TRAIN
STRAIN_000373,ANI95_0017,4,INNER_TRAIN
STRAIN_000375,ANI95_0008,4,INNER_TRAIN
STRAIN_000380,ANI95_0009,4,INNER_TRAIN
STRAIN_000381,ANI95_0010,4,INNER_TRAIN
STRAIN_000383,ANI95_0003,4,INNER_TRAIN
STRAIN_000386,ANI95_0002,4,INNER_TRAIN
STRAIN_000387,ANI95_0002,4,INNER_TRAIN
STRAIN_000388,ANI95_0014,4,INNER_TRAIN
STRAIN_000389,ANI95_0019,4,INNER_TRAIN
STRAIN_000393,ANI95_0009,4,INNER_TRAIN
STRAIN_000394,ANI95_0009,4,INNER_TRAIN
STRAIN_000395,ANI95_0014,4,INNER_TRAIN
STRAIN_000398,ANI95_0006,4,INNER_TRAIN
STRAIN_000401,ANI95_0015,4,INNER_TRAIN
STRAIN_000403,ANI95_0006,4,INNER_TRAIN
STRAIN_000406,ANI95_0014,4,INNER_TRAIN
STRAIN_000407,ANI95_0085,4,INNER_TRAIN
STRAIN_000410,ANI95_0009,4,INNER_TRAIN
STRAIN_000412,ANI95_0014,4,INNER_TRAIN
STRAIN_000413,ANI95_0017,4,INNER_TRAIN
STRAIN_000414,ANI95_0014,4,INNER_TRAIN
STRAIN_000417,ANI95_0002,4,INNER_TRAIN
STRAIN_000419,ANI95_0003,4,INNER_TRAIN
STRAIN_000420,ANI95_0009,4,INNER_TRAIN
STRAIN_000421,ANI95_0086,4,INNER_TRAIN
STRAIN_000422,ANI95_0002,4,INNER_TRAIN
STRAIN_000425,ANI95_0017,4,INNER_TRAIN
STRAIN_000426,ANI95_0014,4,INNER_TRAIN
STRAIN_000428,ANI95_0003,4,INNER_TRAIN
STRAIN_000431,ANI95_0015,4,INNER_TRAIN
STRAIN_000439,ANI95_0006,4,INNER_TRAIN
STRAIN_000441,ANI95_0002,4,INNER_TRAIN
STRAIN_000444,ANI95_0010,4,INNER_TRAIN
STRAIN_000445,ANI95_0019,4,INNER_TRAIN
STRAIN_000446,ANI95_0003,4,INNER_TRAIN
STRAIN_000447,ANI95_0003,4,INNER_TRAIN
STRAIN_000450,ANI95_0019,4,INNER_TRAIN
STRAIN_000453,ANI95_0009,4,INNER_TRAIN
STRAIN_000456,ANI95_0087,4,INNER_TRAIN
STRAIN_000457,ANI95_0003,4,INNER_TRAIN
STRAIN_000458,ANI95_0015,4,INNER_TRAIN
STRAIN_000459,ANI95_0008,4,INNER_TRAIN
STRAIN_000460,ANI95_0008,4,INNER_TRAIN
STRAIN_000461,ANI95_0008,4,INNER_TRAIN
STRAIN_000462,ANI95_0008,4,INNER_TRAIN
STRAIN_000463,ANI95_0015,4,INNER_TRAIN
STRAIN_000464,ANI95_0008,4,INNER_TRAIN
STRAIN_000465,ANI95_0015,4,INNER_TRAIN
STRAIN_000466,ANI95_0015,4,INNER_TRAIN
STRAIN_000467,ANI95_0015,4,INNER_TRAIN
STRAIN_000468,ANI95_0008,4,INNER_TRAIN
STRAIN_000469,ANI95_0008,4,INNER_TRAIN
STRAIN_000472,ANI95_0009,4,INNER_TRAIN
STRAIN_000475,ANI95_0006,4,INNER_TRAIN
STRAIN_000477,ANI95_0008,4,INNER_TRAIN
STRAIN_000478,ANI95_0003,4,INNER_TRAIN
STRAIN_000481,ANI95_0014,4,INNER_TRAIN
STRAIN_000482,ANI95_0014,4,INNER_TRAIN
STRAIN_000483,ANI95_0009,4,INNER_TRAIN
STRAIN_000486,ANI95_0014,4,INNER_TRAIN
STRAIN_000487,ANI95_0014,4,INNER_TRAIN
STRAIN_000488,ANI95_0014,4,INNER_TRAIN
STRAIN_000491,ANI95_0011,4,INNER_TRAIN
STRAIN_000493,ANI95_0010,4,INNER_TRAIN
STRAIN_000494,ANI95_0003,4,INNER_TRAIN
STRAIN_000499,ANI95_0010,4,INNER_TRAIN
STRAIN_000502,ANI95_0021,4,INNER_TRAIN
STRAIN_000503,ANI95_0003,4,INNER_TRAIN
STRAIN_000504,ANI95_0009,4,INNER_TRAIN
STRAIN_000506,ANI95_0003,4,INNER_TRAIN
STRAIN_000507,ANI95_0003,4,INNER_TRAIN
STRAIN_000512,ANI95_0009,4,INNER_TRAIN
STRAIN_000513,ANI95_0009,4,INNER_TRAIN
STRAIN_000515,ANI95_0006,4,INNER_TRAIN
STRAIN_000516,ANI95_0022,4,INNER_TRAIN
STRAIN_000520,ANI95_0008,4,INNER_TRAIN
STRAIN_000521,ANI95_0008,4,INNER_TRAIN
STRAIN_000523,ANI95_0002,4,INNER_TRAIN
STRAIN_000529,ANI95_0003,4,INNER_TRAIN
STRAIN_000531,ANI95_0017,4,INNER_TRAIN
STRAIN_000532,ANI95_0017,4,INNER_TRAIN
STRAIN_000533,ANI95_0017,4,INNER_TRAIN
STRAIN_000536,ANI95_0008,4,INNER_TRAIN
STRAIN_000543,ANI95_0022,4,INNER_TRAIN
STRAIN_000545,ANI95_0003,4,INNER_TRAIN
STRAIN_000549,ANI95_0006,4,INNER_TRAIN
STRAIN_000551,ANI95_0003,4,INNER_TRAIN
STRAIN_000552,ANI95_0006,4,INNER_TRAIN
STRAIN_000554,ANI95_0003,4,INNER_TRAIN
STRAIN_000555,ANI95_0009,4,INNER_TRAIN
STRAIN_000556,ANI95_0010,4,INNER_TRAIN
STRAIN_000557,ANI95_0006,4,INNER_TRAIN
STRAIN_000559,ANI95_0003,4,INNER_TRAIN
STRAIN_000560,ANI95_0003,4,INNER_TRAIN
STRAIN_000563,ANI95_0006,4,INNER_TRAIN
STRAIN_000564,ANI95_0006,4,INNER_TRAIN
STRAIN_000566,ANI95_0006,4,INNER_TRAIN
STRAIN_000569,ANI95_0006,4,INNER_TRAIN
STRAIN_000572,ANI95_0002,4,INNER_TRAIN
STRAIN_000575,ANI95_0009,4,INNER_TRAIN
STRAIN_000580,ANI95_0003,4,INNER_TRAIN
STRAIN_000585,ANI95_0011,4,INNER_TRAIN
STRAIN_000589,ANI95_0010,4,INNER_TRAIN
STRAIN_000590,ANI95_0089,4,INNER_TRAIN
STRAIN_000592,ANI95_0006,4,INNER_TRAIN
STRAIN_000593,ANI95_0006,4,INNER_TRAIN
STRAIN_000596,ANI95_0006,4,INNER_TRAIN
STRAIN_000599,ANI95_0008,4,INNER_TRAIN
STRAIN_000604,ANI95_0011,4,INNER_TRAIN
STRAIN_000610,ANI95_0022,4,INNER_TRAIN
STRAIN_000614,ANI95_0002,4,INNER_TRAIN
STRAIN_000615,ANI95_0011,4,INNER_TRAIN
STRAIN_000624,ANI95_0010,4,INNER_TRAIN
STRAIN_000625,ANI95_0006,4,INNER_TRAIN
STRAIN_000626,ANI95_0008,4,INNER_TRAIN
STRAIN_000628,ANI95_0090,4,INNER_TRAIN
STRAIN_000633,ANI95_0008,4,INNER_TRAIN
STRAIN_000636,ANI95_0002,4,INNER_TRAIN
STRAIN_000637,ANI95_0002,4,INNER_TRAIN
STRAIN_000638,ANI95_0002,4,INNER_TRAIN
STRAIN_000639,ANI95_0003,4,INNER_TRAIN
STRAIN_000640,ANI95_0009,4,INNER_TRAIN
STRAIN_000641,ANI95_0009,4,INNER_TRAIN
STRAIN_000642,ANI95_0009,4,INNER_TRAIN
STRAIN_000643,ANI95_0009,4,INNER_TRAIN
STRAIN_000645,ANI95_0006,4,INNER_TRAIN
STRAIN_000650,ANI95_0003,4,INNER_TRAIN
STRAIN_000651,ANI95_0003,4,INNER_TRAIN
STRAIN_000652,ANI95_0008,4,INNER_TRAIN
STRAIN_000654,ANI95_0003,4,INNER_TRAIN
STRAIN_000657,ANI95_0003,4,INNER_TRAIN
STRAIN_000659,ANI95_0006,4,INNER_TRAIN
STRAIN_000662,ANI95_0002,4,INNER_TRAIN
STRAIN_000668,ANI95_0008,4,INNER_TRAIN
STRAIN_000679,ANI95_0006,4,INNER_TRAIN
STRAIN_000681,ANI95_0011,4,INNER_TRAIN
STRAIN_000687,ANI95_0008,4,INNER_TRAIN
STRAIN_000689,ANI95_0003,4,INNER_TRAIN
STRAIN_000692,ANI95_0003,4,INNER_TRAIN
STRAIN_000693,ANI95_0006,4,INNER_TRAIN
STRAIN_000696,ANI95_0008,4,INNER_TRAIN
STRAIN_000697,ANI95_0003,4,INNER_TRAIN
STRAIN_000698,ANI95_0003,4,INNER_TRAIN
STRAIN_000699,ANI95_0003,4,INNER_TRAIN
STRAIN_000700,ANI95_0003,4,INNER_TRAIN
STRAIN_000705,ANI95_0003,4,INNER_TRAIN
STRAIN_000706,ANI95_0002,4,INNER_TRAIN
STRAIN_000709,ANI95_0003,4,INNER_TRAIN
STRAIN_000711,ANI95_0003,4,INNER_TRAIN
STRAIN_000714,ANI95_0008,4,INNER_TRAIN
STRAIN_000719,ANI95_0002,4,INNER_TRAIN
STRAIN_000721,ANI95_0024,4,INNER_TRAIN
STRAIN_000723,ANI95_0003,4,INNER_TRAIN
STRAIN_000725,ANI95_0010,4,INNER_TRAIN
STRAIN_000726,ANI95_0002,4,INNER_TRAIN
STRAIN_000731,ANI95_0002,4,INNER_TRAIN
STRAIN_000733,ANI95_0003,4,INNER_TRAIN
STRAIN_000737,ANI95_0011,4,INNER_TRAIN
STRAIN_000739,ANI95_0003,4,INNER_TRAIN
STRAIN_000740,ANI95_0003,4,INNER_TRAIN
STRAIN_000742,ANI95_0002,4,INNER_TRAIN
STRAIN_000743,ANI95_0011,4,INNER_TRAIN
STRAIN_000744,ANI95_0011,4,INNER_TRAIN
STRAIN_000745,ANI95_0011,4,INNER_TRAIN
STRAIN_000746,ANI95_0002,4,INNER_TRAIN
STRAIN_000747,ANI95_0002,4,INNER_TRAIN
STRAIN_000748,ANI95_0009,4,INNER_TRAIN
STRAIN_000750,ANI95_0003,4,INNER_TRAIN
STRAIN_000751,ANI95_0006,4,INNER_TRAIN
STRAIN_000752,ANI95_0021,4,INNER_TRAIN
STRAIN_000754,ANI95_0002,4,INNER_TRAIN
STRAIN_000758,ANI95_0002,4,INNER_TRAIN
STRAIN_000759,ANI95_0002,4,INNER_TRAIN
STRAIN_000763,ANI95_0006,4,INNER_TRAIN
STRAIN_000765,ANI95_0006,4,INNER_TRAIN
STRAIN_000766,ANI95_0019,4,INNER_TRAIN
STRAIN_000767,ANI95_0002,4,INNER_TRAIN
STRAIN_000777,ANI95_0003,4,INNER_TRAIN
STRAIN_000778,ANI95_0009,4,INNER_TRAIN
STRAIN_000779,ANI95_0009,4,INNER_TRAIN
STRAIN_000781,ANI95_0024,4,INNER_TRAIN
STRAIN_000784,ANI95_0008,4,INNER_TRAIN
STRAIN_000786,ANI95_0002,4,INNER_TRAIN
STRAIN_000787,ANI95_0008,4,INNER_TRAIN
STRAIN_000794,ANI95_0008,4,INNER_TRAIN
STRAIN_000800,ANI95_0003,4,INNER_TRAIN
STRAIN_000806,ANI95_0002,4,INNER_TRAIN
STRAIN_000808,ANI95_0006,4,INNER_TRAIN
STRAIN_000809,ANI95_0010,4,INNER_TRAIN
STRAIN_000813,ANI95_0010,4,INNER_TRAIN
STRAIN_000814,ANI95_0003,4,INNER_TRAIN
STRAIN_000815,ANI95_0002,4,INNER_TRAIN
STRAIN_000820,ANI95_0008,4,INNER_TRAIN
STRAIN_000825,ANI95_0003,4,INNER_TRAIN
STRAIN_000826,ANI95_0003,4,INNER_TRAIN
STRAIN_000827,ANI95_0003,4,INNER_TRAIN
STRAIN_000834,ANI95_0009,4,INNER_TRAIN
STRAIN_000835,ANI95_0010,4,INNER_TRAIN
STRAIN_000837,ANI95_0010,4,INNER_TRAIN
STRAIN_000852,ANI95_0010,4,INNER_TRAIN
STRAIN_000855,ANI95_0003,4,INNER_TRAIN
STRAIN_000856,ANI95_0006,4,INNER_TRAIN
STRAIN_000858,ANI95_0003,4,INNER_TRAIN
STRAIN_000860,ANI95_0002,4,INNER_TRAIN
STRAIN_000869,ANI95_0003,4,INNER_TRAIN
STRAIN_000870,ANI95_0006,4,INNER_TRAIN
STRAIN_000872,ANI95_0002,4,INNER_TRAIN
STRAIN_000873,ANI95_0003,4,INNER_TRAIN
STRAIN_000875,ANI95_0006,4,INNER_TRAIN
STRAIN_000879,ANI95_0003,4,INNER_TRAIN
STRAIN_000880,ANI95_0010,4,INNER_TRAIN
STRAIN_000881,ANI95_0006,4,INNER_TRAIN
STRAIN_000885,ANI95_0010,4,INNER_TRAIN
STRAIN_000890,ANI95_0010,4,INNER_TRAIN
STRAIN_000891,ANI95_0006,4,INNER_TRAIN
STRAIN_000892,ANI95_0021,4,INNER_TRAIN
STRAIN_000893,ANI95_0008,4,INNER_TRAIN
STRAIN_000895,ANI95_0006,4,INNER_TRAIN
STRAIN_000896,ANI95_0010,4,INNER_TRAIN
STRAIN_000900,ANI95_0011,4,INNER_TRAIN
STRAIN_000903,ANI95_0003,4,INNER_TRAIN
STRAIN_000904,ANI95_0003,4,INNER_TRAIN
STRAIN_000907,ANI95_0006,4,INNER_TRAIN
STRAIN_000910,ANI95_0003,4,INNER_TRAIN
STRAIN_000911,ANI95_0010,4,INNER_TRAIN
STRAIN_000914,ANI95_0008,4,INNER_TRAIN
STRAIN_000916,ANI95_0009,4,INNER_TRAIN
STRAIN_000922,ANI95_0010,4,INNER_TRAIN
STRAIN_000925,ANI95_0003,4,INNER_TRAIN
STRAIN_000926,ANI95_0009,4,INNER_TRAIN
STRAIN_000930,ANI95_0003,4,INNER_TRAIN
STRAIN_000931,ANI95_0006,4,INNER_TRAIN
STRAIN_000936,ANI95_0006,4,INNER_TRAIN
STRAIN_000937,ANI95_0006,4,INNER_TRAIN
STRAIN_000940,ANI95_0003,4,INNER_TRAIN
STRAIN_000941,ANI95_0006,4,INNER_TRAIN
STRAIN_000943,ANI95_0003,4,INNER_TRAIN
STRAIN_000944,ANI95_0009,4,INNER_TRAIN
STRAIN_000947,ANI95_0008,4,INNER_TRAIN
STRAIN_000948,ANI95_0006,4,INNER_TRAIN
STRAIN_000952,ANI95_0006,4,INNER_TRAIN
STRAIN_000955,ANI95_0019,4,INNER_TRAIN
STRAIN_000969,ANI95_0010,4,INNER_TRAIN
STRAIN_000975,ANI95_0017,4,INNER_TRAIN
STRAIN_000988,ANI95_0009,4,INNER_TRAIN
STRAIN_000991,ANI95_0006,4,INNER_TRAIN
STRAIN_000993,ANI95_0002,4,INNER_TRAIN
STRAIN_000995,ANI95_0011,4,INNER_TRAIN
STRAIN_000998,ANI95_0008,4,INNER_TRAIN
STRAIN_001008,ANI95_0008,4,INNER_TRAIN
STRAIN_001010,ANI95_0002,4,INNER_TRAIN
STRAIN_001013,ANI95_0028,4,INNER_TRAIN
STRAIN_001015,ANI95_0006,4,INNER_TRAIN
STRAIN_001017,ANI95_0002,4,INNER_TRAIN
STRAIN_001019,ANI95_0009,4,INNER_TRAIN
STRAIN_001022,ANI95_0003,4,INNER_TRAIN
STRAIN_001024,ANI95_0021,4,INNER_TRAIN
STRAIN_000002,ANI95_0001,4,INNER_VAL
STRAIN_000015,ANI95_0005,4,INNER_VAL
STRAIN_000025,ANI95_0001,4,INNER_VAL
STRAIN_000035,ANI95_0001,4,INNER_VAL
STRAIN_000036,ANI95_0001,4,INNER_VAL
STRAIN_000037,ANI95_0001,4,INNER_VAL
STRAIN_000038,ANI95_0001,4,INNER_VAL
STRAIN_000039,ANI95_0001,4,INNER_VAL
STRAIN_000040,ANI95_0001,4,INNER_VAL
STRAIN_000041,ANI95_0001,4,INNER_VAL
STRAIN_000042,ANI95_0001,4,INNER_VAL
STRAIN_000060,ANI95_0001,4,INNER_VAL
STRAIN_000062,ANI95_0012,4,INNER_VAL
STRAIN_000066,ANI95_0001,4,INNER_VAL
STRAIN_000075,ANI95_0005,4,INNER_VAL
STRAIN_000092,ANI95_0001,4,INNER_VAL
STRAIN_000108,ANI95_0005,4,INNER_VAL
STRAIN_000110,ANI95_0044,4,INNER_VAL
STRAIN_000116,ANI95_0047,4,INNER_VAL
STRAIN_000124,ANI95_0027,4,INNER_VAL
STRAIN_000140,ANI95_0001,4,INNER_VAL
STRAIN_000142,ANI95_0058,4,INNER_VAL
