strain_entity_id,outer_fold,n_genes,n_unique_families
STRAIN_000224,4,2228,2153
STRAIN_000225,2,2517,2368
STRAIN_000226,2,2218,2134
STRAIN_000227,2,1696,1652
STRAIN_000228,4,2761,2703
STRAIN_000229,3,2537,2327
STRAIN_000230,1,3160,3033
STRAIN_000231,1,4042,3964
STRAIN_000232,2,1788,1777
STRAIN_000233,5,3143,3041
STRAIN_000234,3,2285,2249
STRAIN_000235,4,4229,4121
STRAIN_000236,4,1761,1733
STRAIN_000237,3,3963,3879
STRAIN_000238,4,2569,2468
STRAIN_000239,1,3032,2905
STRAIN_000240,4,1870,1824
STRAIN_000241,5,3101,2937
STRAIN_000242,2,2031,1908
STRAIN_000243,1,3072,2952
STRAIN_000244,3,2039,1911
STRAIN_000245,5,3145,3012
STRAIN_000246,2,1570,1555
STRAIN_000247,2,3321,3217
STRAIN_000248,3,2664,2605
STRAIN_000249,4,3020,2934
STRAIN_000250,4,2417,2187
STRAIN_000251,4,1982,1898
STRAIN_000252,5,1846,1837
STRAIN_000253,2,2337,2146
STRAIN_000255,5,2285,2251
STRAIN_000256,1,2503,2454
STRAIN_000257,4,1895,1858
STRAIN_000258,2,1620,1605
STRAIN_000259,3,1849,1773
STRAIN_000260,1,2748,2690
STRAIN_000261,5,2907,2783
STRAIN_000262,2,2514,2430
STRAIN_000263,1,2803,2611
STRAIN_000264,2,1756,1736
STRAIN_000265,4,2017,1985
STRAIN_000266,4,1927,1888
STRAIN_000267,1,2504,2481
STRAIN_000268,4,3261,3123
STRAIN_000269,4,1851,1833
STRAIN_000270,4,1888,1877
STRAIN_000271,1,1938,1911
STRAIN_000272,2,2025,1913
STRAIN_000273,3,1888,1868
STRAIN_000274,5,1897,1869
STRAIN_000275,2,1930,1907
STRAIN_000276,1,1904,1884
STRAIN_000277,3,2022,1998
STRAIN_000278,3,3029,2831
STRAIN_000279,2,1633,1624
STRAIN_000280,2,3083,3022
STRAIN_000281,5,3021,2993
STRAIN_000282,2,1568,1555
STRAIN_000283,4,1942,1898
STRAIN_000284,4,4213,4104
STRAIN_000285,4,4218,4109
STRAIN_000286,4,1634,1622
STRAIN_000287,1,4001,3922
STRAIN_000288,4,1910,1894
STRAIN_000289,4,2906,2850
STRAIN_000290,3,2105,2079
STRAIN_000291,2,2231,2202
STRAIN_000292,2,3168,3072
STRAIN_000294,2,1758,1741
STRAIN_000295,5,1822,1814
STRAIN_000296,3,1950,1919
STRAIN_000297,5,1915,1890
STRAIN_000298,5,1645,1638
STRAIN_000299,5,2799,2761
STRAIN_000300,2,1929,1875
STRAIN_000301,3,3309,3202
STRAIN_000302,1,3096,3002
STRAIN_000303,3,1869,1852
STRAIN_000304,5,1848,1840
STRAIN_000305,1,1908,1887
STRAIN_000306,2,1693,1669
STRAIN_000307,4,2438,2355
STRAIN_000308,1,2708,2547
STRAIN_000309,2,1578,1565
STRAIN_000310,2,1581,1561
STRAIN_000311,4,4728,4364
STRAIN_000312,3,1760,1738
STRAIN_000313,2,1567,1554
STRAIN_000314,4,4203,4095
STRAIN_000315,2,2962,2816
STRAIN_000316,2,2906,2687
STRAIN_000317,4,1825,1799
STRAIN_000318,3,3256,3155
STRAIN_000319,2,3356,3032
STRAIN_000320,2,2623,2532
STRAIN_000321,1,1887,1872
STRAIN_000322,3,1969,1944
STRAIN_000323,5,2393,2350
STRAIN_000324,1,3478,3344
STRAIN_000325,1,3095,3011
STRAIN_000326,3,2749,2710
STRAIN_000327,4,1865,1817
STRAIN_000328,5,1812,1787
STRAIN_000329,4,3001,2944
STRAIN_000330,1,3127,3042
STRAIN_000332,5,2268,2063
STRAIN_000333,1,1849,1751
STRAIN_000334,4,1940,1891
STRAIN_000335,1,2823,2784
STRAIN_000336,5,3007,2950
STRAIN_000337,1,3096,3009
STRAIN_000338,3,2345,2202
STRAIN_000339,4,1941,1893
STRAIN_000340,3,3127,3027
STRAIN_000341,4,1857,1791
STRAIN_000342,1,1912,1837
STRAIN_000343,4,1951,1925
STRAIN_000344,2,2661,2490
STRAIN_000345,1,2814,2767
STRAIN_000346,5,1823,1813
STRAIN_000347,1,1982,1974
STRAIN_000348,5,1941,1906
STRAIN_000349,5,1827,1818
STRAIN_000350,5,1937,1914
STRAIN_000351,2,1712,1691
STRAIN_000352,3,1829,1792
STRAIN_000353,1,3533,3357
STRAIN_000354,1,2147,2108
STRAIN_000355,1,2019,2001
STRAIN_000356,2,2093,2028
STRAIN_000357,5,2857,2815
STRAIN_000358,1,2966,2742
STRAIN_000359,3,2958,2841
STRAIN_000360,2,1559,1554
STRAIN_000361,2,1556,1551
STRAIN_000362,3,3107,3013
STRAIN_000363,2,3034,2963
STRAIN_000364,4,2014,1959
STRAIN_000365,5,2205,2156
STRAIN_000366,2,1782,1772
STRAIN_000367,3,2111,2051
STRAIN_000368,5,1996,1963
STRAIN_000369,1,2960,2885
STRAIN_000370,4,2308,2236
STRAIN_000371,4,1865,1855
STRAIN_000372,1,3348,3224
STRAIN_000373,1,2247,2102
STRAIN_000374,3,3018,2950
STRAIN_000375,3,3753,3735
STRAIN_000376,3,2938,2875
STRAIN_000377,2,1985,1959
STRAIN_000378,2,3082,3023
STRAIN_000379,1,2764,2719
STRAIN_000380,1,2431,2375
STRAIN_000381,4,1896,1858
STRAIN_000382,4,2035,2002
STRAIN_000383,5,2763,2720
STRAIN_000385,1,3035,2941
STRAIN_000386,2,1911,1878
STRAIN_000387,1,2067,2036
STRAIN_000388,3,3959,3873
STRAIN_000389,1,1913,1839
STRAIN_000390,1,3127,3027
STRAIN_000391,2,2862,2696
STRAIN_000392,1,1878,1844
STRAIN_000393,4,2462,2398
STRAIN_000394,4,2684,2553
STRAIN_000395,4,4013,3915
STRAIN_000396,1,2792,2716
STRAIN_000397,1,3065,2966
STRAIN_000398,1,2183,2008
STRAIN_000399,1,3020,2956
STRAIN_000400,1,3257,3106
STRAIN_000401,5,2736,2494
STRAIN_000402,2,4069,3912
STRAIN_000403,4,1984,1927
STRAIN_000404,5,3174,3083
STRAIN_000405,5,3307,3111
STRAIN_000406,4,3864,3782
STRAIN_000407,2,3225,3099
STRAIN_000408,4,1938,1891
STRAIN_000409,5,3156,3069
STRAIN_000410,1,2456,2408
STRAIN_000411,1,1897,1866
STRAIN_000412,4,4225,4116
STRAIN_000413,2,2204,2026
STRAIN_000414,4,4230,4122
STRAIN_000415,2,1996,1956
STRAIN_000416,3,2929,2842
STRAIN_000417,4,1827,1802
STRAIN_000418,1,3268,3154
STRAIN_000419,3,2898,2811
STRAIN_000420,5,2945,2719
STRAIN_000421,2,1959,1904
STRAIN_000422,1,2073,2037
STRAIN_000423,3,1905,1794
STRAIN_000424,2,2972,2921
STRAIN_000425,2,2198,2022
STRAIN_000426,4,4229,4120
STRAIN_000427,2,2932,2873
STRAIN_000428,3,2704,2666
STRAIN_000429,1,1857,1756
STRAIN_000430,4,1965,1896
STRAIN_000431,4,2876,2730
STRAIN_000432,1,3354,3193
STRAIN_000433,5,2815,2669
STRAIN_000434,2,3636,3496
STRAIN_000435,3,3224,3133
STRAIN_000436,5,2968,2908
STRAIN_000437,3,3010,2940
STRAIN_000438,1,3135,3061
STRAIN_000439,2,2223,2030
STRAIN_000440,3,3384,3232
STRAIN_000441,5,1886,1855
STRAIN_000443,5,2274,2159
STRAIN_000444,4,1911,1876
STRAIN_000445,1,1919,1840
STRAIN_000446,2,3193,3173
STRAIN_000447,3,2970,2830
STRAIN_000448,3,3297,3164
STRAIN_000449,2,2062,2015
STRAIN_000450,2,1900,1833
STRAIN_000451,3,3080,3003
STRAIN_000452,4,1950,1905
STRAIN_000453,3,2766,2498
STRAIN_000454,3,3016,2942
STRAIN_000455,5,1954,1923
STRAIN_000456,4,1632,1576
STRAIN_000457,3,2681,2624
STRAIN_000458,3,2587,2368
STRAIN_000459,3,2739,2561
STRAIN_000460,5,2435,2349
STRAIN_000461,4,2546,2382
STRAIN_000462,4,2751,2490
STRAIN_000463,3,2490,2282
STRAIN_000464,4,2475,2327
STRAIN_000465,5,2877,2578
STRAIN_000466,2,2770,2524
STRAIN_000467,5,2801,2534
STRAIN_000468,5,2710,2568
STRAIN_000469,5,2401,2315
STRAIN_000470,3,3156,2970
STRAIN_000471,1,2912,2811
STRAIN_000472,5,2609,2532
STRAIN_000473,2,2054,1952
STRAIN_000474,2,1695,1675
STRAIN_000475,3,2457,2376
STRAIN_000476,1,2212,2036
STRAIN_000477,4,2514,2370
STRAIN_000478,3,2875,2740
STRAIN_000479,4,3153,3061
STRAIN_000480,1,3233,3119
STRAIN_000481,4,4077,3974
STRAIN_000482,4,4065,3961
STRAIN_000483,3,2377,2327
STRAIN_000484,3,2929,2848
STRAIN_000485,2,2040,1941
STRAIN_000486,4,4080,3976
STRAIN_000487,4,4414,4229
STRAIN_000488,3,4106,4011
STRAIN_000489,3,2024,1947
STRAIN_000490,1,3009,2955
STRAIN_000491,2,1574,1559
STRAIN_000492,5,2856,2778
STRAIN_000493,4,1867,1820
STRAIN_000494,3,2812,2744
STRAIN_000495,1,2068,1972
STRAIN_000496,3,3237,3116
STRAIN_000497,1,2780,2686
STRAIN_000498,5,1649,1627
STRAIN_000499,4,1864,1816
STRAIN_000500,4,1955,1905
STRAIN_000501,3,3106,3030
STRAIN_000502,3,1864,1829
STRAIN_000503,4,2806,2718
STRAIN_000504,4,2796,2643
STRAIN_000505,1,2026,1886
STRAIN_000506,3,2725,2677
STRAIN_000507,4,2858,2744
STRAIN_000508,1,3047,2902
STRAIN_000509,5,2990,2773
STRAIN_000510,4,1934,1896
STRAIN_000511,3,3164,3094
STRAIN_000512,3,2339,2304
STRAIN_000513,5,2482,2417
STRAIN_000514,2,3110,2987
STRAIN_000515,3,2023,1976
STRAIN_000516,1,3473,3327
STRAIN_000517,4,2008,1948
STRAIN_000518,4,2068,2020
STRAIN_000519,1,1961,1878
STRAIN_000520,5,2298,2185
STRAIN_000521,5,2285,2247
STRAIN_000522,5,3016,2872
STRAIN_000523,5,1961,1938
STRAIN_000524,3,2174,2133
STRAIN_000525,4,1936,1882
STRAIN_000526,5,1831,1807
STRAIN_000527,4,1927,1897
STRAIN_000528,1,1917,1885
STRAIN_000529,5,2824,2781
STRAIN_000530,1,3082,2986
STRAIN_000531,1,2224,2031
STRAIN_000532,1,2404,2151
STRAIN_000533,3,2315,2074
STRAIN_000534,5,2960,2855
STRAIN_000535,5,3195,3057
STRAIN_000536,1,2233,2177
STRAIN_000537,1,3006,2938
STRAIN_000538,5,2183,2097
STRAIN_000539,5,2911,2770
STRAIN_000540,5,2934,2828
STRAIN_000541,3,3381,3254
STRAIN_000542,5,1983,1961
STRAIN_000543,4,3427,3303
STRAIN_000544,3,3118,2993
STRAIN_000545,5,2777,2707
STRAIN_000546,2,3027,2976
STRAIN_000547,3,3255,3131
STRAIN_000548,3,3022,2953
STRAIN_000549,3,1985,1941
STRAIN_000550,5,3198,3116
STRAIN_000551,2,2740,2701
STRAIN_000552,3,1983,1936
STRAIN_000553,2,2751,2701
STRAIN_000554,3,2723,2683
STRAIN_000555,1,2625,2567
STRAIN_000556,4,1873,1830
STRAIN_000557,2,2082,1837
STRAIN_000558,2,3243,3154
STRAIN_000559,5,2831,2779
STRAIN_000560,5,2827,2778
STRAIN_000561,4,1912,1891
STRAIN_000562,3,3014,2940
STRAIN_000563,1,3008,2874
STRAIN_000564,1,2507,2405
STRAIN_000566,1,2363,2311
STRAIN_000567,5,2105,2061
STRAIN_000568,1,3000,2922
STRAIN_000569,3,2084,1930
STRAIN_000570,3,2972,2907
STRAIN_000571,1,3182,3093
STRAIN_000572,4,1831,1792
STRAIN_000573,1,3209,3115
STRAIN_000574,1,3069,3000
STRAIN_000575,4,2682,2577
STRAIN_000576,1,2002,1973
STRAIN_000577,2,3429,3335
STRAIN_000578,2,3208,3146
STRAIN_000579,1,3041,2954
STRAIN_000580,5,2774,2704
STRAIN_000581,3,1769,1742
STRAIN_000582,2,3276,3153
STRAIN_000583,3,3013,2939
STRAIN_000584,4,3024,2856
STRAIN_000585,2,1567,1556
STRAIN_000586,4,3208,3024
STRAIN_000587,2,2908,2799
STRAIN_000588,5,3168,3052
STRAIN_000589,4,1862,1823
STRAIN_000590,1,2889,2775
STRAIN_000591,2,3103,2991
STRAIN_000592,4,2034,1982
STRAIN_000593,4,2069,2025
STRAIN_000594,3,3319,3149
STRAIN_000595,2,2730,2507
STRAIN_000596,2,2521,2371
STRAIN_000597,3,2981,2753
STRAIN_000598,2,3152,3042
STRAIN_000599,3,2900,2832
STRAIN_000600,4,1788,1769
STRAIN_000601,4,1878,1818
STRAIN_000602,3,3069,2872
STRAIN_000603,3,3300,3119
STRAIN_000604,2,1600,1589
STRAIN_000605,5,3047,2973
STRAIN_000606,1,2811,2731
STRAIN_000607,5,3095,2897
STRAIN_000608,1,3135,2930
STRAIN_000609,1,3279,3141
STRAIN_000610,1,3500,3346
STRAIN_000611,1,3263,3175
STRAIN_000612,1,3272,3183
STRAIN_000613,5,3006,2947
STRAIN_000614,4,1814,1801
STRAIN_000615,2,1560,1547
STRAIN_000616,1,1851,1756
STRAIN_000617,5,3043,2981
STRAIN_000618,5,3045,2987
STRAIN_000619,5,3057,3000
STRAIN_000620,5,3041,2983
STRAIN_000621,5,3064,3007
STRAIN_000622,4,1871,1842
STRAIN_000623,3,3471,3223
STRAIN_000624,4,1766,1736
STRAIN_000625,4,2156,2110
STRAIN_000626,2,2655,2503
STRAIN_000627,2,3019,2810
STRAIN_000628,4,1874,1844
STRAIN_000629,5,2771,2640
STRAIN_000630,5,3292,3057
STRAIN_000631,1,2024,1916
STRAIN_000632,3,3413,3234
STRAIN_000633,3,2374,2328
STRAIN_000634,2,1864,1848
STRAIN_000635,5,2043,2019
STRAIN_000636,4,2462,2392
STRAIN_000637,2,2237,2185
STRAIN_000638,4,1925,1897
STRAIN_000639,2,2726,2655
STRAIN_000640,3,2488,2336
STRAIN_000641,4,2383,2314
STRAIN_000642,2,2579,2497
STRAIN_000643,2,2402,2353
STRAIN_000644,1,3042,2975
STRAIN_000645,4,2119,2000
STRAIN_000646,1,3083,2994
STRAIN_000647,2,2842,2808
STRAIN_000649,3,2949,2905
STRAIN_000650,5,2733,2702
STRAIN_000651,2,2690,2658
STRAIN_000652,5,2733,2623
STRAIN_000653,3,2906,2855
STRAIN_000654,3,2921,2793
STRAIN_000655,4,2111,2074
STRAIN_000656,1,3054,2999
STRAIN_000657,3,2901,2725
STRAIN_000658,2,2075,1970
STRAIN_000659,4,2036,1955
STRAIN_000660,1,2215,2037
STRAIN_000661,3,3198,3071
STRAIN_000662,1,2011,1978
STRAIN_000663,5,3099,2961
STRAIN_000664,3,3123,3024
STRAIN_000665,2,3090,3006
STRAIN_000666,4,2871,2631
STRAIN_000667,3,3137,3062
STRAIN_000668,4,2441,2361
STRAIN_000669,3,3088,3018
STRAIN_000670,3,2016,1967
STRAIN_000671,5,3307,3221
STRAIN_000672,5,2250,2164
STRAIN_000673,1,1795,1776
STRAIN_000674,3,3150,3072
STRAIN_000675,2,3062,2942
STRAIN_000676,1,1745,1734
STRAIN_000677,4,1921,1838
STRAIN_000678,3,2193,2020
STRAIN_000679,1,2039,1963
STRAIN_000680,4,2290,2213
STRAIN_000681,2,1566,1552
STRAIN_000682,1,3064,2988
STRAIN_000683,5,3069,2969
STRAIN_000684,1,2898,2841
STRAIN_000685,3,3165,3095
STRAIN_000686,1,2044,1933
STRAIN_000687,4,2632,2548
STRAIN_000688,5,2994,2941
STRAIN_000689,3,2716,2657
STRAIN_000690,3,3011,2938
STRAIN_000691,1,3045,2967
STRAIN_000692,3,3067,3000
STRAIN_000693,5,2104,1966
STRAIN_000694,1,3153,3062
STRAIN_000695,3,1852,1784
STRAIN_000696,2,2791,2653
STRAIN_000697,5,2971,2909
STRAIN_000698,5,2976,2912
STRAIN_000699,5,3056,2985
STRAIN_000700,5,2995,2937
STRAIN_000701,1,3159,3073
STRAIN_000702,2,2862,2813
STRAIN_000703,4,3111,3030
STRAIN_000704,3,3034,2962
STRAIN_000705,3,2715,2668
STRAIN_000706,5,1927,1891
STRAIN_000707,4,2106,2046
STRAIN_000708,5,1765,1742
STRAIN_000709,5,2804,2752
STRAIN_000710,3,3096,3020
STRAIN_000711,3,2828,2733
STRAIN_000712,1,3073,2990
STRAIN_000713,2,3056,2992
STRAIN_000714,1,2741,2637
STRAIN_000715,3,3078,3016
STRAIN_000716,1,2996,2938
STRAIN_000717,5,1824,1815
STRAIN_000718,3,3285,3174
STRAIN_000719,2,1873,1858
STRAIN_000720,3,2117,2055
STRAIN_000721,5,4651,4412
STRAIN_000722,1,3150,2993
STRAIN_000723,3,3149,3068
STRAIN_000724,1,1892,1861
STRAIN_000725,4,1902,1866
STRAIN_000726,3,1972,1926
STRAIN_000727,1,3121,3031
STRAIN_000728,2,2774,2702
STRAIN_000729,2,2762,2691
STRAIN_000730,3,3039,2961
STRAIN_000731,1,2021,1994
STRAIN_000732,4,2074,2043
STRAIN_000733,3,2838,2741
STRAIN_000734,1,3125,3026
STRAIN_000735,2,1810,1783
STRAIN_000736,4,1792,1775
STRAIN_000737,2,1568,1564
STRAIN_000738,4,2656,2600
STRAIN_000739,1,2785,2699
STRAIN_000740,5,2768,2699
STRAIN_000741,3,3147,3065
STRAIN_000742,1,1989,1958
STRAIN_000743,2,1728,1715
STRAIN_000744,2,1720,1697
STRAIN_000745,2,1685,1672
STRAIN_000746,1,1992,1965
STRAIN_000747,4,2010,1992
STRAIN_000748,4,2436,2357
STRAIN_000749,4,2075,1947
STRAIN_000750,3,2749,2707
STRAIN_000751,5,1912,1873
STRAIN_000752,5,1886,1858
STRAIN_000753,1,3111,3031
STRAIN_000754,5,2593,2462
STRAIN_000755,5,3382,3186
STRAIN_000756,2,2112,1956
STRAIN_000757,5,2028,2000
STRAIN_000758,5,1943,1911
STRAIN_000759,1,2028,1992
STRAIN_000760,1,3416,3266
STRAIN_000761,2,1926,1907
STRAIN_000762,2,1932,1910
STRAIN_000763,1,2157,2029
STRAIN_000764,4,1721,1712
STRAIN_000765,1,2470,2266
STRAIN_000766,2,2033,1917
STRAIN_000767,3,1953,1918
STRAIN_000768,2,3003,2942
STRAIN_000769,5,1977,1962
STRAIN_000770,3,1865,1852
STRAIN_000771,3,1918,1909
STRAIN_000772,3,1842,1834
STRAIN_000773,3,1853,1845
STRAIN_000774,5,1820,1812
STRAIN_000775,3,1945,1927
STRAIN_000776,3,1936,1920
STRAIN_000777,5,3040,2930
STRAIN_000778,4,2617,2559
STRAIN_000779,4,2696,2619
STRAIN_000780,2,1950,1923
STRAIN_000781,1,4635,4430
STRAIN_000782,4,3034,2941
STRAIN_000783,2,1865,1848
STRAIN_000784,4,2563,2462
STRAIN_000785,2,3120,3013
STRAIN_000786,1,2100,2082
STRAIN_000787,4,2661,2467
STRAIN_000788,1,1579,1573
STRAIN_000789,1,2893,2833
STRAIN_000790,1,3158,3095
STRAIN_000791,3,3061,3000
STRAIN_000792,5,3100,3006
STRAIN_000793,3,2920,2859
STRAIN_000794,2,2442,2353
STRAIN_000795,5,2938,2899
STRAIN_000796,2,3155,3045
STRAIN_000797,3,3260,3070
STRAIN_000798,1,1983,1874
STRAIN_000799,1,3069,2933
STRAIN_000800,5,2774,2704
STRAIN_000801,3,1838,1803
STRAIN_000802,3,3159,2992
STRAIN_000803,2,3438,3153
STRAIN_000804,1,3635,3484
STRAIN_000805,1,1976,1881
STRAIN_000806,2,1929,1913
STRAIN_000807,5,3011,2879
STRAIN_000808,3,2299,2245
STRAIN_000809,4,1901,1860
STRAIN_000810,1,2209,2035
STRAIN_000811,4,1956,1914
STRAIN_000812,2,1948,1919
STRAIN_000813,4,1862,1814
STRAIN_000814,5,2754,2706
STRAIN_000815,4,2447,2395
STRAIN_000816,1,3089,2955
STRAIN_000817,1,3004,2938
STRAIN_000818,2,3109,3032
STRAIN_000819,4,2031,2006
STRAIN_000820,4,2612,2520
STRAIN_000821,4,3335,3132
STRAIN_000822,1,2172,2127
STRAIN_000823,4,1908,1889
STRAIN_000824,5,1866,1849
STRAIN_000825,3,2672,2640
STRAIN_000826,4,2652,2622
STRAIN_000827,5,2764,2718
STRAIN_000828,3,3397,3284
STRAIN_000829,1,3281,3147
STRAIN_000830,3,3032,2965
STRAIN_000831,5,3050,2958
STRAIN_000833,5,1970,1946
STRAIN_000834,2,2892,2784
STRAIN_000835,4,1902,1862
STRAIN_000837,4,1920,1879
STRAIN_000838,1,2818,2728
STRAIN_000839,3,3108,2874
STRAIN_000840,2,1997,1944
STRAIN_000841,3,3282,3190
STRAIN_000842,5,3209,3107
STRAIN_000843,5,3127,3069
STRAIN_000844,5,3242,3124
STRAIN_000845,1,1797,1790
STRAIN_000846,1,3106,3016
STRAIN_000847,5,3124,3049
STRAIN_000848,5,3072,2917
STRAIN_000849,1,3079,2996
STRAIN_000850,3,3438,3223
STRAIN_000851,1,1814,1794
